dataset_index,initialization_index,stream_seed,anchor_step,reuse_commits,quality_readout_step,method,refresh_feature_ns,refresh_partition_ns,amortized_proxy_ns_per_commit,verifier_ns_per_commit,projected_total_ns_per_commit,within_stratum_utility_variance_v48,predicted_rmse_v48,observed_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48,quality_mode
0,0,a303ea0000000002,600,1,601,nearest_centroid_quota_repair,17700,2820700,2838400.00,491200,3329600.00,1.200675166652e-5,3.536528380482e-4,3.471692866652e-4,2.678308823529e-1,6.615663548928e-4,6.778849416378e-4,4.687500000000e-2,stale_reuse
0,0,a303ea0000000002,600,1,601,hash_placebo_mean,0,14200,14200.00,491200,505400.00,1.925588195997e-5,4.478572926439e-4,4.485450052679e-4,3.178538602941e-1,6.385763501520e-4,6.463991014929e-4,1.562500000000e-2,stale_reuse
0,0,a303ea0000000002,600,10,610,balanced_kmeans,17700,3057700,307540.00,490400,797940.00,1.053774369055e-5,3.313127879259e-4,3.400935621960e-4,2.652573529412e-1,4.553654036670e-4,4.717076215854e-4,4.687500000000e-2,stale_reuse
0,0,a303ea0000000002,600,10,610,warm_start_balanced_kmeans,17700,2651300,266900.00,490400,757300.00,1.053774369055e-5,3.313127879259e-4,3.400935621960e-4,2.652573529412e-1,4.553654036670e-4,4.717076215854e-4,4.687500000000e-2,stale_reuse
0,0,a303ea0000000002,600,10,610,projected_order_1d,17700,14600,3230.00,490400,493630.00,1.292724251761e-5,3.669588208847e-4,3.747769436670e-4,2.923713235294e-1,4.574156398576e-4,4.722596507918e-4,4.687500000000e-2,stale_reuse
0,0,a303ea0000000002,600,10,610,nearest_centroid_quota_repair,17700,2820700,283840.00,490400,774240.00,1.053774369055e-5,3.313127879259e-4,3.400935621960e-4,2.652573529412e-1,4.553654036670e-4,4.717076215854e-4,4.687500000000e-2,stale_reuse
0,0,a303ea0000000002,600,10,610,hash_placebo_mean,0,14200,1420.00,490400,491820.00,1.717908745006e-5,4.230183781016e-4,4.238037739530e-4,3.001608455882e-1,4.380624168903e-4,4.510974973755e-4,3.125000000000e-2,stale_reuse
0,0,a303ea0000000002,600,25,625,balanced_kmeans,17700,3057700,123016.00,491900,614916.00,1.105506749871e-5,3.393478349888e-4,3.404764244908e-4,2.511029411765e-1,7.589133450949e-4,7.892923984514e-4,1.093750000000e-1,stale_reuse
0,0,a303ea0000000002,600,25,625,warm_start_balanced_kmeans,17700,2651300,106760.00,491900,598660.00,1.105506749871e-5,3.393478349888e-4,3.404764244908e-4,2.511029411765e-1,7.589133450949e-4,7.892923984514e-4,1.093750000000e-1,stale_reuse
0,0,a303ea0000000002,600,25,625,projected_order_1d,17700,14600,1292.00,491900,493192.00,1.320332254145e-5,3.708565892724e-4,3.760270968973e-4,2.623161764706e-1,6.862413729323e-4,7.152926026492e-4,4.687500000000e-2,stale_reuse
