dataset_index,initialization_index,stream_seed,state_step,anchor_step,partition_age,method,mode,candidate_count,within_stratum_utility_variance_v48,predicted_rmse_v48,observed_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48
0,0,a303ea0000000001,625,600,25,hash_placebo_mean,fixed_placebos,170,1.839365610609e-5,4.377134542746e-4,4.380724838929e-4,3.060546875000e-1,4.383767489173e-4,4.788453030926e-4,7.812500000000e-2
0,0,a303ea0000000001,650,600,50,balanced_kmeans,fresh,170,1.272693526868e-5,3.641047134852e-4,3.675709720189e-4,2.656250000000e-1,4.179842893848e-4,4.709171321338e-4,1.250000000000e-1
0,0,a303ea0000000001,650,600,50,balanced_kmeans,stale_reuse,170,1.262175598112e-5,3.625970557014e-4,3.509020295794e-4,2.603236607143e-1,4.549062622914e-4,5.206886889368e-4,2.031250000000e-1
0,0,a303ea0000000001,650,600,50,warm_start_balanced_kmeans,fresh,170,1.276900801721e-5,3.647060462609e-4,3.632136667455e-4,2.684151785714e-1,4.236617305651e-4,4.926343341367e-4,2.187500000000e-1
0,0,a303ea0000000001,650,600,50,warm_start_balanced_kmeans,stale_reuse,170,1.262175598112e-5,3.625970557014e-4,3.509020295794e-4,2.603236607143e-1,4.549062622914e-4,5.206886889368e-4,2.031250000000e-1
0,0,a303ea0000000001,650,600,50,projected_order_1d,fresh,170,1.544321213833e-5,4.010820279041e-4,4.033146355229e-4,2.796688988095e-1,4.206254703831e-4,4.454789573742e-4,7.812500000000e-2
0,0,a303ea0000000001,650,600,50,projected_order_1d,stale_reuse,170,1.567481528734e-5,4.040783660502e-4,4.057384662583e-4,2.804129464286e-1,4.549319104683e-4,5.041044601817e-4,1.093750000000e-1
0,0,a303ea0000000001,650,600,50,nearest_centroid_quota_repair,fresh,170,1.310964753282e-5,3.695386697856e-4,3.626929637405e-4,2.672991071429e-1,4.602159368687e-4,5.285609747716e-4,1.562500000000e-1
0,0,a303ea0000000001,650,600,50,nearest_centroid_quota_repair,stale_reuse,170,1.262175598112e-5,3.625970557014e-4,3.509020295794e-4,2.603236607143e-1,4.549062622914e-4,5.206886889368e-4,2.031250000000e-1
0,0,a303ea0000000001,650,600,50,hash_placebo_00,placebo_component,170,2.164370057774e-5,4.748212446295e-4,4.778124055520e-4,3.199404761905e-1,4.278866269232e-4,4.871758346212e-4,1.406250000000e-1
0,0,a303ea0000000001,650,600,50,hash_placebo_01,placebo_component,170,2.118352598453e-5,4.697464518286e-4,4.593579468090e-4,3.032924107143e-1,4.428259820202e-4,4.742849718204e-4,9.375000000000e-2
0,0,a303ea0000000001,650,600,50,hash_placebo_02,placebo_component,170,2.135894301498e-5,4.716873856055e-4,4.776850307673e-4,3.206845238095e-1,4.721102659460e-4,5.204322187069e-4,1.250000000000e-1
0,0,a303ea0000000001,650,600,50,hash_placebo_03,placebo_component,170,2.125579615366e-5,4.705470680679e-4,4.829256615068e-4,3.127790178571e-1,4.079868833458e-4,4.520765567690e-4,1.093750000000e-1
0,0,a303ea0000000001,650,600,50,hash_placebo_04,placebo_component,170,2.094292527998e-5,4.670711633857e-4,4.617768388707e-4,3.074776785714e-1,4.094045194734e-4,4.292327841995e-4,7.812500000000e-2
0,0,a303ea0000000001,650,600,50,hash_placebo_05,placebo_component,170,2.154472789729e-5,4.737343653675e-4,4.524654021796e-4,3.100818452381e-1,4.477243192440e-4,4.924752699180e-4,1.250000000000e-1
0,0,a303ea0000000001,650,600,50,hash_placebo_06,placebo_component,170,2.142154235095e-5,4.723780966088e-4,4.652954854748e-4,3.096168154762e-1,4.498531099841e-4,4.961659576566e-4,1.406250000000e-1
0,0,a303ea0000000001,650,600,50,hash_placebo_07,placebo_component,170,2.084374185310e-5,4.659638515699e-4,4.634473943446e-4,3.124069940476e-1,4.528465085230e-4,5.116087810015e-4,1.562500000000e-1
0,0,a303ea0000000001,650,600,50,hash_placebo_mean,fixed_placebos,170,2.127436288903e-5,4.707437033829e-4,4.675957706881e-4,3.120349702381e-1,4.388297769324e-4,4.829315468367e-4,1.210937500000e-1
0,0,a303ea0000000001,700,600,100,balanced_kmeans,fresh,170,1.266800612922e-5,3.632607839822e-4,3.612912972099e-4,2.649816176471e-1,3.909170209226e-4,3.970515940637e-4,1.562500000000e-2
0,0,a303ea0000000001,700,600,100,balanced_kmeans,stale_reuse,170,1.232132495926e-5,3.582556838241e-4,3.523263159353e-4,2.655330882353e-1,4.297063344438e-4,4.331461650509e-4,1.562500000000e-2
0,0,a303ea0000000001,700,600,100,warm_start_balanced_kmeans,fresh,170,1.268983456635e-5,3.635736194126e-4,3.623759017094e-4,2.642463235294e-1,3.646673321782e-4,3.791501546857e-4,4.687500000000e-2
