dataset_index,initialization_index,anchor_step,reuse_commits,method,n_streams,amortized_proxy_ns,verifier_ns,projected_total_ns,within_variance_v48,predicted_rmse_v48,observed_rmse_v48,selected_program_regret_v48
0,2,600,100,warm_start_balanced_kmeans,2,16468.50,522100.00,538568.50,4.841931502291e-6,2.238615907991e-4,2.257483208803e-4,2.109859289074e-4
0,2,2400,1,balanced_kmeans,2,2027150.00,527350.00,2554500.00,2.647507321620e-5,5.228803037382e-4,5.235035367762e-4,7.235524720599e-4
0,2,2400,1,hash_placebo_mean,2,0.00,527350.00,527350.00,3.450433227453e-5,5.981697881589e-4,6.016113202796e-4,6.583160279421e-4
0,2,2400,1,nearest_centroid_quota_repair,2,64000.00,527350.00,591350.00,2.707946868080e-5,5.292187611769e-4,5.264191248827e-4,7.293690071393e-4
0,2,2400,1,projected_order_1d,2,20900.00,527350.00,548250.00,3.083537182302e-5,5.649495849298e-4,5.499259568776e-4,6.532812265476e-4
0,2,2400,1,warm_start_balanced_kmeans,2,2229950.00,527350.00,2757300.00,2.651589545986e-5,5.233227787363e-4,5.088343817754e-4,6.267362499059e-4
0,2,2400,10,balanced_kmeans,2,202715.00,520800.00,723515.00,2.448918982710e-5,5.017498127913e-4,4.960437638102e-4,8.640651621477e-4
0,2,2400,10,hash_placebo_mean,2,0.00,520800.00,520800.00,3.125864385773e-5,5.680589736072e-4,5.712917111397e-4,8.957864474346e-4
0,2,2400,10,nearest_centroid_quota_repair,2,6400.00,520800.00,527200.00,2.497293967719e-5,5.073754355302e-4,5.013803820837e-4,9.692138652895e-4
0,2,2400,10,projected_order_1d,2,2090.00,520800.00,522890.00,2.846254989949e-5,5.409418752475e-4,5.360009447421e-4,8.050958982331e-4
0,2,2400,10,warm_start_balanced_kmeans,2,222995.00,520800.00,743795.00,2.438960785007e-5,5.008219459393e-4,5.019150726603e-4,9.188108440839e-4
0,2,2400,25,balanced_kmeans,2,81086.00,511000.00,592086.00,2.646674386081e-5,5.240968639089e-4,5.169787541366e-4,7.006105620917e-4
0,2,2400,25,hash_placebo_mean,2,0.00,511000.00,511000.00,3.489742198352e-5,6.018816935708e-4,6.013829556356e-4,8.270446342742e-4
0,2,2400,25,nearest_centroid_quota_repair,2,2560.00,511000.00,513560.00,2.725478042464e-5,5.319650351740e-4,5.351394561997e-4,7.143301412498e-4
0,2,2400,25,projected_order_1d,2,836.00,511000.00,511836.00,3.145614607304e-5,5.712356450037e-4,5.609314421502e-4,8.016285058119e-4
0,2,2400,25,warm_start_balanced_kmeans,2,89198.00,511000.00,600198.00,2.621325202059e-5,5.217006045832e-4,5.116962046056e-4,7.006040859920e-4
0,2,2400,50,balanced_kmeans,2,40543.00,498850.00,539393.00,2.439817948599e-5,5.018177478511e-4,4.974212209027e-4,9.073685539249e-4
0,2,2400,50,hash_placebo_mean,2,0.00,498850.00,498850.00,3.316219738126e-5,5.858139412490e-4,5.828942827765e-4,9.078161981559e-4
