dataset_index,initialization_index,stream_seed,state_step,anchor_step,age,method,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,partition_build_median_ns,iterations,within_sse,measurement_repetitions
0,0,a303ea0000000002,2500,2400,100,projected_order_1d,27,20736,8800,9800,1,1.100865530361e2,3
0,0,a303ea0000000002,2500,2400,100,nearest_centroid_quota_repair,27,20736,8800,36500,1,6.488222268814e1,3
0,0,a303ea0000000002,2500,2400,100,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000003,600,600,0,balanced_kmeans,27,20736,9600,1322200,4,5.554513712050e0,3
0,1,a303ea0000000003,600,600,0,warm_start_balanced_kmeans,27,20736,9600,2155000,4,5.554513712050e0,3
0,1,a303ea0000000003,600,600,0,projected_order_1d,27,20736,9600,16400,1,4.601752801458e1,3
0,1,a303ea0000000003,600,600,0,nearest_centroid_quota_repair,27,20736,9600,2216700,4,5.554513712050e0,3
0,1,a303ea0000000003,600,600,0,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000003,601,600,1,balanced_kmeans,27,20736,9300,1305500,4,5.574807644064e0,3
0,1,a303ea0000000003,601,600,1,warm_start_balanced_kmeans,27,20736,9300,582300,2,5.574807644064e0,3
0,1,a303ea0000000003,601,600,1,projected_order_1d,27,20736,9300,9800,1,4.597547363501e1,3
0,1,a303ea0000000003,601,600,1,nearest_centroid_quota_repair,27,20736,9300,37700,1,9.376665942945e0,3
0,1,a303ea0000000003,601,600,1,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000003,610,600,10,balanced_kmeans,27,20736,9300,1861200,6,5.870716681355e0,3
0,1,a303ea0000000003,610,600,10,warm_start_balanced_kmeans,27,20736,9300,858300,3,5.744065816521e0,3
0,1,a303ea0000000003,610,600,10,projected_order_1d,27,20736,9300,9700,1,4.297557900868e1,3
0,1,a303ea0000000003,610,600,10,nearest_centroid_quota_repair,27,20736,9300,31000,1,9.487674064004e0,3
0,1,a303ea0000000003,610,600,10,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000003,625,600,25,balanced_kmeans,27,20736,9400,1065400,3,6.099802048006e0,3
0,1,a303ea0000000003,625,600,25,warm_start_balanced_kmeans,27,20736,9400,554000,2,5.964882583505e0,3
0,1,a303ea0000000003,625,600,25,projected_order_1d,27,20736,9400,10300,1,4.304891143444e1,3
0,1,a303ea0000000003,625,600,25,nearest_centroid_quota_repair,27,20736,9400,33000,1,7.814603152000e0,3
0,1,a303ea0000000003,625,600,25,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000003,650,600,50,balanced_kmeans,27,20736,9300,1620900,5,5.871588128878e0,3
0,1,a303ea0000000003,650,600,50,warm_start_balanced_kmeans,27,20736,9300,1085000,3,5.860709595799e0,3
0,1,a303ea0000000003,650,600,50,projected_order_1d,27,20736,9300,9700,1,4.680713017166e1,3
0,1,a303ea0000000003,650,600,50,nearest_centroid_quota_repair,27,20736,9300,30700,1,8.412486427759e0,3
0,1,a303ea0000000003,650,600,50,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000003,700,600,100,balanced_kmeans,27,20736,13900,2342000,4,6.206942722718e0,3
0,1,a303ea0000000003,700,600,100,warm_start_balanced_kmeans,27,20736,13900,841800,2,6.452730216005e0,3
0,1,a303ea0000000003,700,600,100,projected_order_1d,27,20736,13900,16400,1,4.446308614161e1,3
0,1,a303ea0000000003,700,600,100,nearest_centroid_quota_repair,27,20736,13900,76300,1,1.122464590358e1,3
0,1,a303ea0000000003,700,600,100,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000003,2400,2400,0,balanced_kmeans,27,20736,9400,1958900,4,1.472251455170e1,3
0,1,a303ea0000000003,2400,2400,0,warm_start_balanced_kmeans,27,20736,9400,1297800,3,1.492803792602e1,3
0,1,a303ea0000000003,2400,2400,0,projected_order_1d,27,20736,9400,16000,1,6.059145763349e1,3
0,1,a303ea0000000003,2400,2400,0,nearest_centroid_quota_repair,27,20736,9400,69700,1,2.310044418526e1,3
0,1,a303ea0000000003,2400,2400,0,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000003,2401,2400,1,balanced_kmeans,27,20736,9300,1727900,4,1.495359208261e1,3
0,1,a303ea0000000003,2401,2400,1,warm_start_balanced_kmeans,27,20736,9300,617900,2,1.506582211202e1,3
0,1,a303ea0000000003,2401,2400,1,projected_order_1d,27,20736,9300,10100,1,6.223149170964e1,3
0,1,a303ea0000000003,2401,2400,1,nearest_centroid_quota_repair,27,20736,9300,41300,1,2.320301604431e1,3
0,1,a303ea0000000003,2401,2400,1,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000003,2410,2400,10,balanced_kmeans,27,20736,9100,1639900,4,1.535197134908e1,3
0,1,a303ea0000000003,2410,2400,10,warm_start_balanced_kmeans,27,20736,9100,659700,2,1.506139324211e1,3
0,1,a303ea0000000003,2410,2400,10,projected_order_1d,27,20736,9100,10300,1,5.924734103857e1,3
0,1,a303ea0000000003,2410,2400,10,nearest_centroid_quota_repair,27,20736,9100,30000,1,2.003774564938e1,3
0,1,a303ea0000000003,2410,2400,10,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000003,2425,2400,25,balanced_kmeans,27,20736,9200,2037200,6,1.466162947531e1,3
0,1,a303ea0000000003,2425,2400,25,warm_start_balanced_kmeans,27,20736,9200,513900,2,1.515976786422e1,3
0,1,a303ea0000000003,2425,2400,25,projected_order_1d,27,20736,9200,10500,1,6.173815019902e1,3
0,1,a303ea0000000003,2425,2400,25,nearest_centroid_quota_repair,27,20736,9200,29000,1,1.962322662046e1,3
0,1,a303ea0000000003,2425,2400,25,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
0,1,a303ea0000000003,2450,2400,50,balanced_kmeans,27,20736,13000,2178600,5,1.704722926757e1,3
0,1,a303ea0000000003,2450,2400,50,warm_start_balanced_kmeans,27,20736,13000,532900,2,1.593307435076e1,3
0,1,a303ea0000000003,2450,2400,50,projected_order_1d,27,20736,13000,10100,1,6.019237149305e1,3
0,1,a303ea0000000003,2450,2400,50,nearest_centroid_quota_repair,27,20736,13000,28300,1,2.019054444459e1,3
0,1,a303ea0000000003,2450,2400,50,hash_placebo_mean,0,0,0,14200,0,0.000000000000e0,3
