dataset_index,initialization_index,stream_seed,arm,step,train_loss,evaluation_loss,evaluation_accuracy,parameter_fingerprint
1,1,a303d1ea0000000d,hash_placebo,600,8.870888352e-1,1.031085610e0,0.447917,09f131f437bfc0ea
1,1,a303d1ea0000000d,hash_placebo,2400,4.227285087e-1,1.342445493e0,0.489583,aa519cf33cefbee3
1,1,a303d1ea0000000d,hash_placebo,4200,2.335017473e-1,1.900956511e0,0.531250,6df4f04fbfae26a6
1,1,a303d1ea0000000e,projected_order_1d,0,1.117396593e0,1.129448175e0,0.312500,f526c642b4252d0e
1,1,a303d1ea0000000e,projected_order_1d,600,8.188458085e-1,9.934954643e-1,0.479167,abaacdcc80fef55e
1,1,a303d1ea0000000e,projected_order_1d,2400,3.068272471e-1,1.162949681e0,0.593750,45e8de35d7e546ba
1,1,a303d1ea0000000e,projected_order_1d,4200,1.601629704e-1,1.651426196e0,0.625000,b3d2385c691e942d
1,1,a303d1ea0000000e,hash_placebo,0,1.117396593e0,1.129448175e0,0.312500,f526c642b4252d0e
1,1,a303d1ea0000000e,hash_placebo,600,8.701016903e-1,1.000557780e0,0.479167,1bb09042fe2bbc78
1,1,a303d1ea0000000e,hash_placebo,2400,3.704898655e-1,1.044880509e0,0.593750,aa11def3338e31bd
1,1,a303d1ea0000000e,hash_placebo,4200,1.717884541e-1,1.245785594e0,0.614583,005f84f6f3cbbd81
1,2,a303d1ea0000000f,projected_order_1d,0,1.109044313e0,1.092899084e0,0.312500,4a613bc4cdad5f48
1,2,a303d1ea0000000f,projected_order_1d,600,8.910405040e-1,1.089957476e0,0.385417,bea9c203409fbacd
1,2,a303d1ea0000000f,projected_order_1d,2400,6.026877761e-1,1.424368858e0,0.354167,099b8258d5027fea
1,2,a303d1ea0000000f,projected_order_1d,4200,3.550673425e-1,1.924208641e0,0.468750,357012d7f00ac250
1,2,a303d1ea0000000f,hash_placebo,0,1.109044313e0,1.092899084e0,0.312500,4a613bc4cdad5f48
1,2,a303d1ea0000000f,hash_placebo,600,9.187797904e-1,1.091075778e0,0.552083,230b0fa348255f91
1,2,a303d1ea0000000f,hash_placebo,2400,6.354494691e-1,1.357746959e0,0.520833,ad4dc8fe4c5330cf
1,2,a303d1ea0000000f,hash_placebo,4200,2.659870684e-1,1.555466771e0,0.572917,6550dad43ae37122
1,2,a303d1ea00000010,projected_order_1d,0,1.109044313e0,1.092899084e0,0.312500,4a613bc4cdad5f48
1,2,a303d1ea00000010,projected_order_1d,600,8.600721359e-1,1.096866369e0,0.333333,a46d9f8bdd0195ee
1,2,a303d1ea00000010,projected_order_1d,2400,5.459910035e-1,1.385854125e0,0.510417,efb5c5cc0d530d27
1,2,a303d1ea00000010,projected_order_1d,4200,2.391902357e-1,1.771289825e0,0.541667,2c219738dea7a428
1,2,a303d1ea00000010,hash_placebo,0,1.109044313e0,1.092899084e0,0.312500,4a613bc4cdad5f48
1,2,a303d1ea00000010,hash_placebo,600,8.960251212e-1,1.084613204e0,0.375000,d8d7b3ca19c3f285
1,2,a303d1ea00000010,hash_placebo,2400,6.105050445e-1,1.376412272e0,0.385417,4b8ed714cd0105dd
1,2,a303d1ea00000010,hash_placebo,4200,2.491428405e-1,1.670820832e0,0.541667,a6f96b615d44621a
1,3,a303d1ea00000011,projected_order_1d,0,1.095649719e0,1.116899848e0,0.260417,677245304fd14440
1,3,a303d1ea00000011,projected_order_1d,600,8.975991607e-1,1.072790265e0,0.500000,48eae8d55d4565fa
1,3,a303d1ea00000011,projected_order_1d,2400,3.987796605e-1,1.246589541e0,0.489583,be7cfc76c672f4b3
1,3,a303d1ea00000011,projected_order_1d,4200,1.550615877e-1,1.870627403e0,0.489583,8eef1a80cd9e50ab
1,3,a303d1ea00000011,hash_placebo,0,1.095649719e0,1.116899848e0,0.260417,677245304fd14440
1,3,a303d1ea00000011,hash_placebo,600,8.969492912e-1,1.046913266e0,0.520833,c15d79b0108c9723
1,3,a303d1ea00000011,hash_placebo,2400,2.889541686e-1,1.424264431e0,0.531250,be62015e64ad565e
1,3,a303d1ea00000011,hash_placebo,4200,1.175800338e-1,1.878329277e0,0.583333,b3f2fd3964fd697e
1,3,a303d1ea00000012,projected_order_1d,0,1.095649719e0,1.116899848e0,0.260417,677245304fd14440
1,3,a303d1ea00000012,projected_order_1d,600,9.234949946e-1,1.075718522e0,0.458333,ab31ed6e4bdc40b6
1,3,a303d1ea00000012,projected_order_1d,2400,2.993013561e-1,1.246771455e0,0.541667,36a6b6c27f84dd93
1,3,a303d1ea00000012,projected_order_1d,4200,8.947873116e-2,1.719353318e0,0.541667,c1aa004f690b1038
1,3,a303d1ea00000012,hash_placebo,0,1.095649719e0,1.116899848e0,0.260417,677245304fd14440
1,3,a303d1ea00000012,hash_placebo,600,9.113498330e-1,1.090611100e0,0.520833,a014c953c7e5adec
1,3,a303d1ea00000012,hash_placebo,2400,3.852293789e-1,1.204043031e0,0.531250,9c5130eb07805db0
1,3,a303d1ea00000012,hash_placebo,4200,8.405432850e-2,1.756335855e0,0.562500,f2109aaeb728127c
1,4,a303d1ea00000013,projected_order_1d,0,1.114942789e0,1.098159909e0,0.427083,4d5d72b06b713665
1,4,a303d1ea00000013,projected_order_1d,600,8.883542418e-1,1.063080430e0,0.406250,97d39a43b01d558d
1,4,a303d1ea00000013,projected_order_1d,2400,3.451615870e-1,1.245009542e0,0.552083,f767ba028ab01dcd
1,4,a303d1ea00000013,projected_order_1d,4200,6.835419685e-2,1.745434284e0,0.604167,4afbf8b163db99d2
1,4,a303d1ea00000013,hash_placebo,0,1.114942789e0,1.098159909e0,0.427083,4d5d72b06b713665
1,4,a303d1ea00000013,hash_placebo,600,8.993601799e-1,1.073642373e0,0.364583,844b88ee693361bf
1,4,a303d1ea00000013,hash_placebo,2400,3.419853151e-1,1.337983489e0,0.531250,991b6139ed5714e6
1,4,a303d1ea00000013,hash_placebo,4200,2.721017599e-2,2.017050028e0,0.583333,223aed134ea845f3
1,4,a303d1ea00000014,projected_order_1d,0,1.114942789e0,1.098159909e0,0.427083,4d5d72b06b713665
1,4,a303d1ea00000014,projected_order_1d,600,8.442494869e-1,1.126964211e0,0.385417,434b1af463a70e96
1,4,a303d1ea00000014,projected_order_1d,2400,2.875860929e-1,1.495243192e0,0.458333,aa050230d61ffe66
1,4,a303d1ea00000014,projected_order_1d,4200,1.441646665e-1,2.202908039e0,0.447917,c7d6eba536c16ea4
1,4,a303d1ea00000014,hash_placebo,0,1.114942789e0,1.098159909e0,0.427083,4d5d72b06b713665
1,4,a303d1ea00000014,hash_placebo,600,8.880615830e-1,1.060116887e0,0.364583,110df2afdd07a3c5
1,4,a303d1ea00000014,hash_placebo,2400,4.024336040e-1,1.485728741e0,0.437500,e7bbeef44f9dfaa4
1,4,a303d1ea00000014,hash_placebo,4200,2.652152479e-1,1.830953956e0,0.510417,a37f067796dc1ba9
2,0,a303d1ea00000015,projected_order_1d,0,1.125426173e0,1.105301619e0,0.343750,154169d76607567a
2,0,a303d1ea00000015,projected_order_1d,600,7.338697314e-1,9.421522021e-1,0.635417,30a1419ceb8940f4
2,0,a303d1ea00000015,projected_order_1d,2400,3.016767502e-1,1.294335246e0,0.645833,bc4884c9c14be665
2,0,a303d1ea00000015,projected_order_1d,4200,1.374274045e-1,1.985451221e0,0.645833,235dc93007e868c1
2,0,a303d1ea00000015,hash_placebo,0,1.125426173e0,1.105301619e0,0.343750,154169d76607567a
2,0,a303d1ea00000015,hash_placebo,600,8.263313174e-1,1.034894347e0,0.562500,081274dcec933781
2,0,a303d1ea00000015,hash_placebo,2400,3.448358774e-1,1.150119066e0,0.645833,f11b86fd94b18d15
2,0,a303d1ea00000015,hash_placebo,4200,1.901495010e-1,1.642965198e0,0.666667,20c9ee7b849761aa
2,0,a303d1ea00000016,projected_order_1d,0,1.125426173e0,1.105301619e0,0.343750,154169d76607567a
2,0,a303d1ea00000016,projected_order_1d,600,7.785367370e-1,1.026413560e0,0.593750,e41f11a302ebf0d7
2,0,a303d1ea00000016,projected_order_1d,2400,3.474958241e-1,1.122049928e0,0.677083,9ec76310af56d989
2,0,a303d1ea00000016,projected_order_1d,4200,1.732881516e-1,1.425963759e0,0.656250,57bc20d240cf3e86
2,0,a303d1ea00000016,hash_placebo,0,1.125426173e0,1.105301619e0,0.343750,154169d76607567a
2,0,a303d1ea00000016,hash_placebo,600,7.815072536e-1,1.003119588e0,0.583333,4c4397f55a9abc52
2,0,a303d1ea00000016,hash_placebo,2400,3.798696101e-1,1.156847954e0,0.645833,835cfd896e907d45
2,0,a303d1ea00000016,hash_placebo,4200,2.265569121e-1,1.376065731e0,0.635417,8bff51908182ebaa
2,1,a303d1ea00000017,projected_order_1d,0,1.124860168e0,1.117322564e0,0.343750,f526c642b4252d0e
2,1,a303d1ea00000017,projected_order_1d,600,8.063063025e-1,1.028889537e0,0.510417,a3f12f95eea10561
2,1,a303d1ea00000017,projected_order_1d,2400,2.462013960e-1,1.344105601e0,0.614583,b3aca0ce269f9d6c
2,1,a303d1ea00000017,projected_order_1d,4200,7.309723645e-2,2.227935553e0,0.552083,e939bac6efca913e
2,1,a303d1ea00000017,hash_placebo,0,1.124860168e0,1.117322564e0,0.343750,f526c642b4252d0e
2,1,a303d1ea00000017,hash_placebo,600,8.294441104e-1,9.630491138e-1,0.510417,406387f29815d1d3
2,1,a303d1ea00000017,hash_placebo,2400,1.693339795e-1,1.259580016e0,0.625000,bb2210948f469e68
2,1,a303d1ea00000017,hash_placebo,4200,2.739611827e-2,2.383594275e0,0.614583,b95f5228a8f6e4b8
2,1,a303d1ea00000018,projected_order_1d,0,1.124860168e0,1.117322564e0,0.343750,f526c642b4252d0e
2,1,a303d1ea00000018,projected_order_1d,600,7.787628174e-1,1.002123475e0,0.520833,52616b295cb5bd17
2,1,a303d1ea00000018,projected_order_1d,2400,1.473984122e-1,1.434696078e0,0.687500,2f503934e908c69e
2,1,a303d1ea00000018,projected_order_1d,4200,2.546329238e-2,2.599782228e0,0.656250,6f885cdb609513a1
2,1,a303d1ea00000018,hash_placebo,0,1.124860168e0,1.117322564e0,0.343750,f526c642b4252d0e
2,1,a303d1ea00000018,hash_placebo,600,8.080497384e-1,9.550826550e-1,0.520833,7954a020b358664f
2,1,a303d1ea00000018,hash_placebo,2400,3.602588475e-1,1.383281112e0,0.614583,b0286196f8f26174
2,1,a303d1ea00000018,hash_placebo,4200,9.474516660e-2,2.225088596e0,0.614583,de3e693dfbbb7599
2,2,a303d1ea00000019,projected_order_1d,0,1.099102378e0,1.095577359e0,0.343750,4a613bc4cdad5f48
2,2,a303d1ea00000019,projected_order_1d,600,7.845069766e-1,1.010489345e0,0.500000,c6907efe24128053
2,2,a303d1ea00000019,projected_order_1d,2400,4.304796457e-1,1.138255358e0,0.718750,ee724ff2e117e411
2,2,a303d1ea00000019,projected_order_1d,4200,2.396970391e-1,1.702367187e0,0.677083,92f6de556b8d0662
2,2,a303d1ea00000019,hash_placebo,0,1.099102378e0,1.095577359e0,0.343750,4a613bc4cdad5f48
2,2,a303d1ea00000019,hash_placebo,600,7.755197883e-1,1.011003733e0,0.479167,9167725fb7de66bc
2,2,a303d1ea00000019,hash_placebo,2400,4.733696282e-1,1.100520015e0,0.604167,bd827325100e1dec
2,2,a303d1ea00000019,hash_placebo,4200,2.522378266e-1,1.604638219e0,0.625000,b62f2458548e942c
2,2,a303d1ea0000001a,projected_order_1d,0,1.099102378e0,1.095577359e0,0.343750,4a613bc4cdad5f48
2,2,a303d1ea0000001a,projected_order_1d,600,7.747343183e-1,9.999196529e-1,0.510417,5f487913c752000a
2,2,a303d1ea0000001a,projected_order_1d,2400,5.501034856e-1,1.164764643e0,0.604167,b813bf1bf41904e9
2,2,a303d1ea0000001a,projected_order_1d,4200,3.881879747e-1,1.498678684e0,0.656250,45f5d11195a3f1b5
2,2,a303d1ea0000001a,hash_placebo,0,1.099102378e0,1.095577359e0,0.343750,4a613bc4cdad5f48
2,2,a303d1ea0000001a,hash_placebo,600,7.772586942e-1,9.808992743e-1,0.500000,8504ccbee3022efc
2,2,a303d1ea0000001a,hash_placebo,2400,5.283336043e-1,1.099024177e0,0.614583,b4a5cedff5299152
2,2,a303d1ea0000001a,hash_placebo,4200,2.362638563e-1,1.499374509e0,0.656250,2339e3bb53c02b7c
2,3,a303d1ea0000001b,projected_order_1d,0,1.108409166e0,1.122175932e0,0.270833,677245304fd14440
2,3,a303d1ea0000001b,projected_order_1d,600,8.758309484e-1,1.048264861e0,0.489583,1a64f6cb3f3a15c3
2,3,a303d1ea0000001b,projected_order_1d,2400,2.738746405e-1,1.184952378e0,0.583333,7af8a6455acd818d
2,3,a303d1ea0000001b,projected_order_1d,4200,6.707786024e-2,1.551937699e0,0.656250,2a90eef020dbd815
2,3,a303d1ea0000001b,hash_placebo,0,1.108409166e0,1.122175932e0,0.270833,677245304fd14440
2,3,a303d1ea0000001b,hash_placebo,600,7.716861367e-1,9.525505900e-1,0.520833,d036d0b4208eb45c
2,3,a303d1ea0000001b,hash_placebo,2400,4.673021734e-1,1.155693531e0,0.614583,42ee48c349b3b78f
2,3,a303d1ea0000001b,hash_placebo,4200,1.712071747e-1,1.482169151e0,0.677083,af5fc657379eface
2,3,a303d1ea0000001c,projected_order_1d,0,1.108409166e0,1.122175932e0,0.270833,677245304fd14440
2,3,a303d1ea0000001c,projected_order_1d,600,8.492537141e-1,9.989816546e-1,0.458333,ca65e1d3f202fdad
2,3,a303d1ea0000001c,projected_order_1d,2400,4.317139089e-1,1.225434303e0,0.614583,f6f341d4374e7d85
2,3,a303d1ea0000001c,projected_order_1d,4200,2.497027963e-1,1.216713548e0,0.645833,72aa020381702e58
2,3,a303d1ea0000001c,hash_placebo,0,1.108409166e0,1.122175932e0,0.270833,677245304fd14440
2,3,a303d1ea0000001c,hash_placebo,600,8.030068278e-1,9.744760394e-1,0.531250,098d471e9fbe1b44
2,3,a303d1ea0000001c,hash_placebo,2400,5.385670662e-1,1.202587247e0,0.593750,35bda492bf4932ef
2,3,a303d1ea0000001c,hash_placebo,4200,3.586186171e-1,1.472428799e0,0.614583,d54bf142d1f98625
2,4,a303d1ea0000001d,projected_order_1d,0,1.109389186e0,1.093918204e0,0.364583,4d5d72b06b713665
2,4,a303d1ea0000001d,projected_order_1d,600,8.514665961e-1,1.103110909e0,0.541667,be939fc37844f038
2,4,a303d1ea0000001d,projected_order_1d,2400,3.365668952e-1,1.537338257e0,0.583333,1ff636c7efa040b5
2,4,a303d1ea0000001d,projected_order_1d,4200,2.032368183e-1,2.078569174e0,0.614583,742629d93ede8729
2,4,a303d1ea0000001d,hash_placebo,0,1.109389186e0,1.093918204e0,0.364583,4d5d72b06b713665
2,4,a303d1ea0000001d,hash_placebo,600,8.919534683e-1,9.930024147e-1,0.531250,541b77db802e100a
2,4,a303d1ea0000001d,hash_placebo,2400,4.344095290e-1,1.220058799e0,0.614583,d3a22b512f68ad6c
2,4,a303d1ea0000001d,hash_placebo,4200,1.429671943e-1,1.696456909e0,0.604167,613e1ed954728ea6
2,4,a303d1ea0000001e,projected_order_1d,0,1.109389186e0,1.093918204e0,0.364583,4d5d72b06b713665
2,4,a303d1ea0000001e,projected_order_1d,600,7.992886901e-1,1.020695210e0,0.572917,50f550d7196430ea
2,4,a303d1ea0000001e,projected_order_1d,2400,3.410532773e-1,1.290733099e0,0.656250,7c33070b055f1705
2,4,a303d1ea0000001e,projected_order_1d,4200,1.380001158e-1,1.663727760e0,0.666667,97d4e61c89311c67
2,4,a303d1ea0000001e,hash_placebo,0,1.109389186e0,1.093918204e0,0.364583,4d5d72b06b713665
2,4,a303d1ea0000001e,hash_placebo,600,8.446552753e-1,1.004998684e0,0.572917,dd361a98c87f48f8
2,4,a303d1ea0000001e,hash_placebo,2400,4.035583436e-1,1.255323172e0,0.604167,121a156660b305df
2,4,a303d1ea0000001e,hash_placebo,4200,2.623341382e-1,1.900870323e0,0.552083,7127de9a32a2a4ae
