dataset_index,initialization_index,stream_seed,arm,refresh_slot,partition_epoch,hash_partition_id,partition_fingerprint,feature_ns,ordering_or_hash_ns
0,2,a303d1ea00000006,projected_order_1d,700,7,,37ec11253f3f28d5,7400,8100
0,2,a303d1ea00000006,projected_order_1d,800,8,,59ccb9abd7bfcdf5,7500,8000
0,2,a303d1ea00000006,projected_order_1d,900,9,,c2cae25b49f1df01,7300,8100
0,2,a303d1ea00000006,projected_order_1d,1000,10,,0ccb0241cd638985,7400,8400
0,2,a303d1ea00000006,projected_order_1d,1100,11,,d31ac492f56f74cd,8600,8200
0,2,a303d1ea00000006,projected_order_1d,1200,12,,feda095e2e343af5,7300,7800
0,2,a303d1ea00000006,projected_order_1d,1300,13,,bce30567aa8bf305,7600,7900
0,2,a303d1ea00000006,projected_order_1d,1400,14,,66cb315b98719dd1,7300,8200
0,2,a303d1ea00000006,projected_order_1d,1500,15,,4d80c1483aaa62e5,8200,11200
0,2,a303d1ea00000006,projected_order_1d,1600,16,,bba691a4eab369ad,9700,9600
0,2,a303d1ea00000006,projected_order_1d,1700,17,,f7b93ae17ec7ba09,7300,8000
0,2,a303d1ea00000006,projected_order_1d,1800,18,,1cc86eaac0317ab5,7500,7700
0,2,a303d1ea00000006,projected_order_1d,1900,19,,b1f0b7b04483e0c9,7700,8200
0,2,a303d1ea00000006,projected_order_1d,2000,20,,1dc1fbb185607781,7400,8500
0,2,a303d1ea00000006,projected_order_1d,2100,21,,f2523cc5c29339a5,7500,8100
0,2,a303d1ea00000006,projected_order_1d,2200,22,,70d7def7fd64dda1,7300,8000
0,2,a303d1ea00000006,projected_order_1d,2300,23,,5c0c8cd95b5e4e01,7600,8100
0,2,a303d1ea00000006,projected_order_1d,2400,24,,cbe8cba6bed9a745,7500,8200
0,2,a303d1ea00000006,projected_order_1d,2500,25,,e98ed4a0ec038f15,7800,8600
0,2,a303d1ea00000006,projected_order_1d,2600,26,,6c6dd0d503bacdbd,7300,8500
0,2,a303d1ea00000006,projected_order_1d,2700,27,,ec47512e4894787d,7400,7800
0,2,a303d1ea00000006,projected_order_1d,2800,28,,e109bdcc04aa8bb5,7600,7900
0,2,a303d1ea00000006,projected_order_1d,2900,29,,cf52095032ae3f4d,8700,12800
0,2,a303d1ea00000006,projected_order_1d,3000,30,,ab3ffd0611e58671,7300,8600
0,2,a303d1ea00000006,projected_order_1d,3100,31,,90fd2d8cba589641,8000,11700
0,2,a303d1ea00000006,projected_order_1d,3200,32,,b4d639bfb36b1611,7400,7900
0,2,a303d1ea00000006,projected_order_1d,3300,33,,6631a89713318f5d,7300,8900
0,2,a303d1ea00000006,projected_order_1d,3400,34,,cf0cc16346374e51,7500,8400
0,2,a303d1ea00000006,projected_order_1d,3500,35,,5885a2125f157e95,7400,7800
0,2,a303d1ea00000006,projected_order_1d,3600,36,,0683cf4082b89975,19600,8200
0,2,a303d1ea00000006,projected_order_1d,3700,37,,ebeddca68244e8f5,7400,8300
0,2,a303d1ea00000006,projected_order_1d,3800,38,,ad3b8b083135348d,7300,8500
0,2,a303d1ea00000006,projected_order_1d,3900,39,,52d510cbf4b86dc5,7400,8100
0,2,a303d1ea00000006,projected_order_1d,4000,40,,62fab4953389f751,7400,8100
0,2,a303d1ea00000006,projected_order_1d,4100,41,,41957d0fc62b5a8d,7300,7400
0,2,a303d1ea00000006,hash_placebo,0,0,2,8ec04bf49bf34a6d,0,4300
0,3,a303d1ea00000007,projected_order_1d,0,0,,c2110587d07b317d,7500,7700
0,3,a303d1ea00000007,projected_order_1d,100,1,,235aed6129031985,7300,8300
0,3,a303d1ea00000007,projected_order_1d,200,2,,da09c08763e25429,7400,7900
0,3,a303d1ea00000007,projected_order_1d,300,3,,d93c1c3fbf054f99,7200,8000
0,3,a303d1ea00000007,projected_order_1d,400,4,,d06ae554af40d8a5,7400,8300
0,3,a303d1ea00000007,projected_order_1d,500,5,,e194ebb2160bda5d,7300,8100
0,3,a303d1ea00000007,projected_order_1d,600,6,,092ac7d2aaa9cb19,7300,8000
0,3,a303d1ea00000007,projected_order_1d,700,7,,67ab782cda35f4d1,7900,11200
0,3,a303d1ea00000007,projected_order_1d,800,8,,48818bcea9b3c95d,7200,8100
0,3,a303d1ea00000007,projected_order_1d,900,9,,979ff91451818db1,7300,8400
0,3,a303d1ea00000007,projected_order_1d,1000,10,,de93bad5d90d3c11,7400,7900
0,3,a303d1ea00000007,projected_order_1d,1100,11,,5e09f9fe9674cabd,7400,8500
0,3,a303d1ea00000007,projected_order_1d,1200,12,,735fea5074ca9d85,7400,8400
0,3,a303d1ea00000007,projected_order_1d,1300,13,,a5a7312fae4345ed,7300,8000
0,3,a303d1ea00000007,projected_order_1d,1400,14,,22c279a383bc0d7d,7300,8000
0,3,a303d1ea00000007,projected_order_1d,1500,15,,d95715ff9550035d,7200,8000
0,3,a303d1ea00000007,projected_order_1d,1600,16,,07cf4aaa8e81f2c5,7300,8400
0,3,a303d1ea00000007,projected_order_1d,1700,17,,fc2787d528bcda81,7300,8000
0,3,a303d1ea00000007,projected_order_1d,1800,18,,ddb6ba8b13f7e9a9,7400,8100
0,3,a303d1ea00000007,projected_order_1d,1900,19,,0a854ec266f61931,7100,7700
0,3,a303d1ea00000007,projected_order_1d,2000,20,,5e286e179beaed0d,7400,8000
0,3,a303d1ea00000007,projected_order_1d,2100,21,,8317209393ab6cb5,7300,7900
0,3,a303d1ea00000007,projected_order_1d,2200,22,,7ecd1f5edbe2394d,7600,8400
0,3,a303d1ea00000007,projected_order_1d,2300,23,,a9b1d7cf77579d45,7400,8400
0,3,a303d1ea00000007,projected_order_1d,2400,24,,5b1336bc569ba281,7700,8300
0,3,a303d1ea00000007,projected_order_1d,2500,25,,4efcd9af04c7e84d,7400,8200
0,3,a303d1ea00000007,projected_order_1d,2600,26,,9c725a70af862bb5,7400,7800
0,3,a303d1ea00000007,projected_order_1d,2700,27,,92f2b6b9132cc7a9,7300,8100
0,3,a303d1ea00000007,projected_order_1d,2800,28,,86a0f758efc60e01,7400,8600
0,3,a303d1ea00000007,projected_order_1d,2900,29,,1038db58bc64485d,7200,7600
0,3,a303d1ea00000007,projected_order_1d,3000,30,,b46cd3ef559f10d1,7300,8200
0,3,a303d1ea00000007,projected_order_1d,3100,31,,d8007c62394bf4d1,7400,8500
0,3,a303d1ea00000007,projected_order_1d,3200,32,,0cb0569f279705cd,7300,8200
0,3,a303d1ea00000007,projected_order_1d,3300,33,,15e6380fb07be8d9,7200,8000
0,3,a303d1ea00000007,projected_order_1d,3400,34,,7e22e196abc366a1,7600,8400
0,3,a303d1ea00000007,projected_order_1d,3500,35,,8f014a61d6c82661,7400,8100
0,3,a303d1ea00000007,projected_order_1d,3600,36,,76e61c078c1647a5,7200,8200
0,3,a303d1ea00000007,projected_order_1d,3700,37,,c899cb1d8f701b65,7300,8300
0,3,a303d1ea00000007,projected_order_1d,3800,38,,990f7022797ec7c1,7200,7900
0,3,a303d1ea00000007,projected_order_1d,3900,39,,cd3629d89516698d,8200,11600
0,3,a303d1ea00000007,projected_order_1d,4000,40,,cf8bc9b64de95ec9,7400,8300
0,3,a303d1ea00000007,projected_order_1d,4100,41,,09f3a9c457e9fb75,7400,8200
0,3,a303d1ea00000007,hash_placebo,0,0,1,08d2d3f44d694801,0,4900
