cell_id,dataset_id,initialization_id,arm,step,train_loss,final_loss,final_accuracy,population_loss,population_accuracy,operational_loss,operational_gap,verifier_size,support_size,panel_id
5,1,0,sentinel_k16_cyclic,600,0.978635788,1.024410367,0.468750000,1.027299285,0.468994141,0.936191738,-0.088218629,128,2048,5
5,1,0,sentinel_k16_cyclic,2400,0.653972983,0.882632911,0.625000000,0.814302802,0.656494141,0.822550058,-0.060082853,128,2048,7
5,1,0,sentinel_k16_cyclic,4200,0.566818714,0.837985933,0.593750000,0.755559087,0.685546875,0.735836506,-0.102149427,128,2048,9
5,1,0,sentinel_k16_blocked,0,1.088775396,1.097302198,0.385416657,1.098338366,0.355224609,1.104568362,0.007266164,128,2048,0
5,1,0,sentinel_k16_blocked,600,0.902510881,1.048269391,0.437500000,1.026485443,0.483642578,0.938920319,-0.109349072,128,2048,2
5,1,0,sentinel_k16_blocked,2400,0.657921016,0.989806831,0.572916687,0.817463875,0.666503906,0.726700366,-0.263106465,128,2048,9
5,1,0,sentinel_k16_blocked,4200,0.562388361,0.982593775,0.614583313,0.708920240,0.714599609,0.435488790,-0.547104955,128,2048,15
5,1,0,sentinel_k16_pooled,0,1.088775396,1.097302198,0.385416657,1.098338366,0.355224609,1.098242044,0.000939846,2048,2048,0
5,1,0,sentinel_k16_pooled,600,0.865266740,0.906406581,0.520833313,0.902164102,0.546386719,0.877108932,-0.029297650,2048,2048,0
5,1,0,sentinel_k16_pooled,2400,0.504392564,0.532284915,0.781250000,0.557968616,0.766601562,0.468544751,-0.063740164,2048,2048,0
5,1,0,sentinel_k16_pooled,4200,0.421558142,0.453381777,0.802083313,0.481674939,0.803466797,0.381041765,-0.072340012,2048,2048,0
5,1,0,sentinel_k64_cyclic,0,1.088775396,1.097302198,0.385416657,1.098338366,0.355224609,1.104568362,0.007266164,128,8192,0
5,1,0,sentinel_k64_cyclic,600,0.954281867,1.021541476,0.468750000,1.021316409,0.461425781,0.978834271,-0.042707205,128,8192,21
5,1,0,sentinel_k64_cyclic,2400,0.689157963,0.881509542,0.552083313,0.805937350,0.636474609,0.770507157,-0.111002386,128,8192,23
5,1,0,sentinel_k64_cyclic,4200,0.500487506,0.848651469,0.645833313,0.695904732,0.701904297,0.697419167,-0.151232302,128,8192,25
5,1,0,sentinel_fresh,0,1.088775396,1.097302198,0.385416657,1.098338366,0.355224609,1.104568362,0.007266164,128,128,0
5,1,0,sentinel_fresh,600,0.955002308,1.023150325,0.447916657,1.022979736,0.470214844,1.026048660,0.002898335,128,19200,149
5,1,0,sentinel_fresh,2400,0.776802123,0.931530476,0.531250000,0.885943711,0.592773438,0.861931145,-0.069599330,128,76800,599
5,1,0,sentinel_fresh,4200,0.649136662,0.915235758,0.604166687,0.788306653,0.646240234,0.796890676,-0.118345082,128,134400,1049
6,1,1,sentinel_k1,0,1.099622607,1.122729659,0.291666657,1.105541348,0.346923828,1.129945755,0.007216096,128,128,0
6,1,1,sentinel_k1,600,0.913158178,0.980189621,0.552083313,1.031669497,0.478515625,0.827692330,-0.152497292,128,128,0
6,1,1,sentinel_k1,2400,0.922962487,1.195590973,0.687500000,1.268158436,0.590332031,0.228189185,-0.967401803,128,128,0
6,1,1,sentinel_k1,4200,1.290647507,2.118096113,0.635416687,2.052936554,0.571777344,0.075453848,-2.042642355,128,128,0
6,1,1,sentinel_k4_cyclic,0,1.099622607,1.122729659,0.291666657,1.105541348,0.346923828,1.129945755,0.007216096,128,512,0
6,1,1,sentinel_k4_cyclic,600,0.886026859,0.955530167,0.541666687,0.996096671,0.488769531,0.940628946,-0.014901221,128,512,1
6,1,1,sentinel_k4_cyclic,2400,0.681471527,0.823356152,0.656250000,0.856457651,0.631103516,0.698092222,-0.125263929,128,512,3
6,1,1,sentinel_k4_cyclic,4200,0.536299825,0.780601680,0.666666687,0.747939527,0.681152344,0.582471848,-0.198129833,128,512,1
6,1,1,sentinel_k16_cyclic,0,1.099622607,1.122729659,0.291666657,1.105541348,0.346923828,1.129945755,0.007216096,128,2048,0
6,1,1,sentinel_k16_cyclic,600,0.895525515,0.908070147,0.572916687,0.959885836,0.489746094,0.951693177,0.043623030,128,2048,5
6,1,1,sentinel_k16_cyclic,2400,0.734004438,0.874455750,0.593750000,0.868575215,0.580810547,0.790073335,-0.084382415,128,2048,7
6,1,1,sentinel_k16_cyclic,4200,0.596184194,0.762714684,0.677083313,0.795554876,0.655761719,0.811876297,0.049161613,128,2048,9
