cell_id,arm,step,train_loss,model_offset,model_bytes
10,sentinel_k16_blocked,600,0.920620382,200412,684
10,sentinel_k16_blocked,2400,0.786209643,201096,684
10,sentinel_k16_blocked,4200,0.730279267,201780,684
10,sentinel_k16_pooled,0,1.091280103,202464,684
10,sentinel_k16_pooled,600,0.839776993,203148,684
10,sentinel_k16_pooled,2400,0.511375606,203832,684
10,sentinel_k16_pooled,4200,0.407227188,204516,684
10,sentinel_k64_cyclic,0,1.091280103,205200,684
10,sentinel_k64_cyclic,600,0.953774750,205884,684
10,sentinel_k64_cyclic,2400,0.568658650,206568,684
10,sentinel_k64_cyclic,4200,0.469566673,207252,684
10,sentinel_fresh,0,1.091280103,207936,684
10,sentinel_fresh,600,0.968031824,208620,684
10,sentinel_fresh,2400,0.637734711,209304,684
10,sentinel_fresh,4200,0.498004347,209988,684
11,sentinel_k1,0,1.089484334,210672,684
11,sentinel_k1,600,0.931492507,211356,684
11,sentinel_k1,2400,1.585358262,212040,684
11,sentinel_k1,4200,3.064537287,212724,684
11,sentinel_k4_cyclic,0,1.089484334,213408,684
11,sentinel_k4_cyclic,600,0.956415415,214092,684
11,sentinel_k4_cyclic,2400,0.802277744,214776,684
11,sentinel_k4_cyclic,4200,0.736571252,215460,684
11,sentinel_k16_cyclic,0,1.089484334,216144,684
11,sentinel_k16_cyclic,600,0.948504448,216828,684
11,sentinel_k16_cyclic,2400,0.831228316,217512,684
11,sentinel_k16_cyclic,4200,0.837402344,218196,684
11,sentinel_k16_blocked,0,1.089484334,218880,684
11,sentinel_k16_blocked,600,0.997872770,219564,684
11,sentinel_k16_blocked,2400,0.937543809,220248,684
11,sentinel_k16_blocked,4200,0.939174235,220932,684
11,sentinel_k16_pooled,0,1.089484334,221616,684
11,sentinel_k16_pooled,600,0.899346888,222300,684
11,sentinel_k16_pooled,2400,0.450697511,222984,684
11,sentinel_k16_pooled,4200,0.458937019,223668,684
11,sentinel_k64_cyclic,0,1.089484334,224352,684
11,sentinel_k64_cyclic,600,0.948193312,225036,684
11,sentinel_k64_cyclic,2400,0.829917848,225720,684
11,sentinel_k64_cyclic,4200,0.687223196,226404,684
11,sentinel_fresh,0,1.089484334,227088,684
11,sentinel_fresh,600,0.953227997,227772,684
11,sentinel_fresh,2400,0.775858462,228456,684
11,sentinel_fresh,4200,0.649293959,229140,684
12,sentinel_k1,0,1.108245969,229824,684
12,sentinel_k1,600,0.820309937,230508,684
12,sentinel_k1,2400,1.714887500,231192,684
12,sentinel_k1,4200,3.427263260,231876,684
12,sentinel_k4_cyclic,0,1.108245969,232560,684
12,sentinel_k4_cyclic,600,0.970151424,233244,684
12,sentinel_k4_cyclic,2400,0.717777491,233928,684
12,sentinel_k4_cyclic,4200,0.581652462,234612,684
12,sentinel_k16_cyclic,0,1.108245969,235296,684
12,sentinel_k16_cyclic,600,0.942562878,235980,684
12,sentinel_k16_cyclic,2400,0.848563015,236664,684
12,sentinel_k16_cyclic,4200,0.677000701,237348,684
12,sentinel_k16_blocked,0,1.108245969,238032,684
12,sentinel_k16_blocked,600,0.898650646,238716,684
12,sentinel_k16_blocked,2400,0.635400176,239400,684
12,sentinel_k16_blocked,4200,0.636057675,240084,684
12,sentinel_k16_pooled,0,1.108245969,240768,684
12,sentinel_k16_pooled,600,0.816749394,241452,684
12,sentinel_k16_pooled,2400,0.464094251,242136,684
12,sentinel_k16_pooled,4200,0.497892708,242820,684
12,sentinel_k64_cyclic,0,1.108245969,243504,684
12,sentinel_k64_cyclic,600,0.942941666,244188,684
12,sentinel_k64_cyclic,2400,0.664578497,244872,684
12,sentinel_k64_cyclic,4200,0.435689926,245556,684
12,sentinel_fresh,0,1.108245969,246240,684
12,sentinel_fresh,600,0.932798386,246924,684
12,sentinel_fresh,2400,0.769890964,247608,684
12,sentinel_fresh,4200,0.675201714,248292,684
13,sentinel_k1,0,1.102314591,248976,684
13,sentinel_k1,600,0.916147947,249660,684
13,sentinel_k1,2400,1.882744908,250344,684
13,sentinel_k1,4200,2.730960131,251028,684
13,sentinel_k4_cyclic,0,1.102314591,251712,684
13,sentinel_k4_cyclic,600,0.937386036,252396,684
13,sentinel_k4_cyclic,2400,0.856825113,253080,684
13,sentinel_k4_cyclic,4200,0.839581251,253764,684
13,sentinel_k16_cyclic,0,1.102314591,254448,684
13,sentinel_k16_cyclic,600,0.979604483,255132,684
13,sentinel_k16_cyclic,2400,0.825306177,255816,684
13,sentinel_k16_cyclic,4200,0.749219596,256500,684
13,sentinel_k16_blocked,0,1.102314591,257184,684
13,sentinel_k16_blocked,600,0.964677632,257868,684
13,sentinel_k16_blocked,2400,0.914210379,258552,684
13,sentinel_k16_blocked,4200,0.887757957,259236,684
13,sentinel_k16_pooled,0,1.102314591,259920,684
13,sentinel_k16_pooled,600,0.846941292,260604,684
13,sentinel_k16_pooled,2400,0.361520678,261288,684
13,sentinel_k16_pooled,4200,0.384685606,261972,684
13,sentinel_k64_cyclic,0,1.102314591,262656,684
13,sentinel_k64_cyclic,600,0.963969409,263340,684
13,sentinel_k64_cyclic,2400,0.824499071,264024,684
13,sentinel_k64_cyclic,4200,0.744799137,264708,684
13,sentinel_fresh,0,1.102314591,265392,684
13,sentinel_fresh,600,0.942443430,266076,684
13,sentinel_fresh,2400,0.814581335,266760,684
13,sentinel_fresh,4200,0.733179867,267444,684
14,sentinel_k1,0,1.081443191,268128,684
14,sentinel_k1,600,1.022156239,268812,684
14,sentinel_k1,2400,2.133077860,269496,684
14,sentinel_k1,4200,3.996320963,270180,684
14,sentinel_k4_cyclic,0,1.081443191,270864,684
14,sentinel_k4_cyclic,600,0.991874516,271548,684
14,sentinel_k4_cyclic,2400,0.747124255,272232,684
14,sentinel_k4_cyclic,4200,0.599826753,272916,684
14,sentinel_k16_cyclic,0,1.081443191,273600,684
14,sentinel_k16_cyclic,600,0.991301239,274284,684
14,sentinel_k16_cyclic,2400,0.805653811,274968,684
14,sentinel_k16_cyclic,4200,0.752330303,275652,684
14,sentinel_k16_blocked,0,1.081443191,276336,684
14,sentinel_k16_blocked,600,0.998223245,277020,684
14,sentinel_k16_blocked,2400,0.758294761,277704,684
14,sentinel_k16_blocked,4200,0.907370567,278388,684
14,sentinel_k16_pooled,0,1.081443191,279072,684
14,sentinel_k16_pooled,600,0.850744665,279756,684
14,sentinel_k16_pooled,2400,0.579718649,280440,684
14,sentinel_k16_pooled,4200,0.588598669,281124,684
14,sentinel_k64_cyclic,0,1.081443191,281808,684
14,sentinel_k64_cyclic,600,1.003053308,282492,684
14,sentinel_k64_cyclic,2400,0.805834830,283176,684
14,sentinel_k64_cyclic,4200,0.744057178,283860,684
14,sentinel_fresh,0,1.081443191,284544,684
14,sentinel_fresh,600,0.986178696,285228,684
14,sentinel_fresh,2400,0.775675833,285912,684
14,sentinel_fresh,4200,0.719188631,286596,684
15,sentinel_k1,0,1.096848965,287280,684
15,sentinel_k1,600,1.031519413,287964,684
15,sentinel_k1,2400,1.538120747,288648,684
15,sentinel_k1,4200,2.785968065,289332,684
15,sentinel_k4_cyclic,0,1.096848965,290016,684
15,sentinel_k4_cyclic,600,0.991110146,290700,684
15,sentinel_k4_cyclic,2400,0.963479280,291384,684
15,sentinel_k4_cyclic,4200,0.903874457,292068,684
15,sentinel_k16_cyclic,0,1.096848965,292752,684
15,sentinel_k16_cyclic,600,1.009766936,293436,684
15,sentinel_k16_cyclic,2400,0.839041233,294120,684
15,sentinel_k16_cyclic,4200,0.855625689,294804,684
15,sentinel_k16_blocked,0,1.096848965,295488,684
15,sentinel_k16_blocked,600,1.000894427,296172,684
15,sentinel_k16_blocked,2400,0.897227526,296856,684
15,sentinel_k16_blocked,4200,0.977086961,297540,684
15,sentinel_k16_pooled,0,1.096848965,298224,684
15,sentinel_k16_pooled,600,0.926031113,298908,684
15,sentinel_k16_pooled,2400,0.641495049,299592,684
15,sentinel_k16_pooled,4200,0.573084772,300276,684
15,sentinel_k64_cyclic,0,1.096848965,300960,684
15,sentinel_k64_cyclic,600,0.999287069,301644,684
15,sentinel_k64_cyclic,2400,0.885362089,302328,684
15,sentinel_k64_cyclic,4200,0.818890870,303012,684
15,sentinel_fresh,0,1.096848965,303696,684
15,sentinel_fresh,600,0.998044670,304380,684
15,sentinel_fresh,2400,0.853414357,305064,684
15,sentinel_fresh,4200,0.840820014,305748,684
16,sentinel_k1,0,1.087713718,306432,684
16,sentinel_k1,600,1.049749851,307116,684
16,sentinel_k1,2400,1.119557977,307800,684
16,sentinel_k1,4200,1.935734630,308484,684
16,sentinel_k4_cyclic,0,1.087713718,309168,684
16,sentinel_k4_cyclic,600,1.030398488,309852,684
16,sentinel_k4_cyclic,2400,0.851095676,310536,684
16,sentinel_k4_cyclic,4200,0.814676344,311220,684
16,sentinel_k16_cyclic,0,1.087713718,311904,684
16,sentinel_k16_cyclic,600,1.008607984,312588,684
16,sentinel_k16_cyclic,2400,0.906613588,313272,684
16,sentinel_k16_cyclic,4200,0.789295197,313956,684
16,sentinel_k16_blocked,0,1.087713718,314640,684
16,sentinel_k16_blocked,600,1.036651850,315324,684
16,sentinel_k16_blocked,2400,0.894243419,316008,684
16,sentinel_k16_blocked,4200,0.994687974,316692,684
16,sentinel_k16_pooled,0,1.087713718,317376,684
16,sentinel_k16_pooled,600,0.918671310,318060,684
16,sentinel_k16_pooled,2400,0.728383005,318744,684
16,sentinel_k16_pooled,4200,0.708810389,319428,684
16,sentinel_k64_cyclic,0,1.087713718,320112,684
16,sentinel_k64_cyclic,600,1.008331180,320796,684
16,sentinel_k64_cyclic,2400,0.877041638,321480,684
16,sentinel_k64_cyclic,4200,0.774326801,322164,684
16,sentinel_fresh,0,1.087713718,322848,684
16,sentinel_fresh,600,0.996649921,323532,684
16,sentinel_fresh,2400,0.868864477,324216,684
16,sentinel_fresh,4200,0.770550549,324900,684
17,sentinel_k1,0,1.109087944,325584,684
17,sentinel_k1,600,1.020949244,326268,684
17,sentinel_k1,2400,1.807656646,326952,684
17,sentinel_k1,4200,3.079110384,327636,684
17,sentinel_k4_cyclic,0,1.109087944,328320,684
17,sentinel_k4_cyclic,600,0.977359712,329004,684
17,sentinel_k4_cyclic,2400,0.861086607,329688,684
17,sentinel_k4_cyclic,4200,0.760086834,330372,684
17,sentinel_k16_cyclic,0,1.109087944,331056,684
17,sentinel_k16_cyclic,600,0.992700577,331740,684
17,sentinel_k16_cyclic,2400,0.813439310,332424,684
17,sentinel_k16_cyclic,4200,0.687130868,333108,684
17,sentinel_k16_blocked,0,1.109087944,333792,684
17,sentinel_k16_blocked,600,0.920261860,334476,684
17,sentinel_k16_blocked,2400,0.846314251,335160,684
17,sentinel_k16_blocked,4200,0.629079461,335844,684
17,sentinel_k16_pooled,0,1.109087944,336528,684
17,sentinel_k16_pooled,600,0.908593178,337212,684
17,sentinel_k16_pooled,2400,0.746996880,337896,684
