fit_id,operator_id,arm,adapter_seed,graph_realization,control_seed,teacher_seed,learner_seed,status,heldout_bce,heldout_accuracy,final_train_loss
"degree-a1101-g2101-cx-t6104-l7104","degree-a1101-g2101-cx","degree",1101,2101,,6104,7104,"complete",0.2797654549338879,0.896484375,0.07332716823370643
"degree-a1102-g2101-cx-t6101-l7101","degree-a1102-g2101-cx","degree",1102,2101,,6101,7101,"complete",0.2510376539558876,0.908447265625,0.06222813692530497
"degree-a1102-g2101-cx-t6101-l7102","degree-a1102-g2101-cx","degree",1102,2101,,6101,7102,"complete",0.2324467967373871,0.906494140625,0.06777543987628594
"degree-a1102-g2101-cx-t6101-l7103","degree-a1102-g2101-cx","degree",1102,2101,,6101,7103,"complete",0.2465842189535803,0.912353515625,0.06394643441299462
"degree-a1102-g2101-cx-t6101-l7104","degree-a1102-g2101-cx","degree",1102,2101,,6101,7104,"complete",0.24751178729539955,0.91455078125,0.06382859541614246
"degree-a1102-g2101-cx-t6102-l7101","degree-a1102-g2101-cx","degree",1102,2101,,6102,7101,"complete",0.2348293339920238,0.910400390625,0.06896856687656527
"degree-a1102-g2101-cx-t6102-l7102","degree-a1102-g2101-cx","degree",1102,2101,,6102,7102,"complete",0.2334658708924067,0.906494140625,0.07246431214175426
"degree-a1102-g2101-cx-t6102-l7103","degree-a1102-g2101-cx","degree",1102,2101,,6102,7103,"complete",0.2348587143388088,0.90673828125,0.06847919523719458
"degree-a1102-g2101-cx-t6102-l7104","degree-a1102-g2101-cx","degree",1102,2101,,6102,7104,"complete",0.23402054908630252,0.909912109375,0.06846760327171271
"degree-a1102-g2101-cx-t6103-l7101","degree-a1102-g2101-cx","degree",1102,2101,,6103,7101,"complete",0.27345411666154507,0.895263671875,0.07475904731079855
"degree-a1102-g2101-cx-t6103-l7102","degree-a1102-g2101-cx","degree",1102,2101,,6103,7102,"complete",0.27761712817223066,0.891357421875,0.07311036670900656
"degree-a1102-g2101-cx-t6103-l7103","degree-a1102-g2101-cx","degree",1102,2101,,6103,7103,"complete",0.2752834772876091,0.8994140625,0.07850867127421023
"degree-a1102-g2101-cx-t6103-l7104","degree-a1102-g2101-cx","degree",1102,2101,,6103,7104,"complete",0.2751775078429232,0.894287109375,0.07470172809423035
"degree-a1102-g2101-cx-t6104-l7101","degree-a1102-g2101-cx","degree",1102,2101,,6104,7101,"complete",0.27158597817176244,0.89404296875,0.0811265995159182
"degree-a1102-g2101-cx-t6104-l7102","degree-a1102-g2101-cx","degree",1102,2101,,6104,7102,"complete",0.27941120067309244,0.894287109375,0.07843885191993423
"degree-a1102-g2101-cx-t6104-l7103","degree-a1102-g2101-cx","degree",1102,2101,,6104,7103,"complete",0.27478575741071115,0.8935546875,0.0834602870749547
"degree-a1102-g2101-cx-t6104-l7104","degree-a1102-g2101-cx","degree",1102,2101,,6104,7104,"complete",0.2798356895142941,0.89599609375,0.07341898314481464
