seed,snapshot,source_kind,source_program_ordinal,step_offset,global_commit,step_status,program_present,program_left,program_right,program_len,delta_left,delta_right,invalid_source_step
9f4a7c15d6e8b301,2400,ACTION,2,13,2413,generated,true,13,14,2,-0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,14,2414,generated,true,9,20,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,15,2415,generated,true,9,22,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,16,2416,generated,true,0,33,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,17,2417,generated,true,11,24,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,18,2418,generated,true,13,24,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,19,2419,generated,true,4,35,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,20,2420,generated,true,13,28,2,-0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,21,2421,generated,true,21,22,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,22,2422,generated,true,22,23,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,23,2423,generated,true,22,25,2,0.02,0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,24,2424,generated,true,23,26,2,-0.01,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,25,2425,generated,true,15,36,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,26,2426,generated,true,20,33,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,27,2427,generated,true,20,35,2,0.02,-0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,28,2428,generated,true,15,42,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,29,2429,generated,true,15,44,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,30,2430,generated,true,22,39,2,-0.01,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,31,2431,generated,true,15,48,2,0.02,0,0
9f4a7c15d6e8b301,2400,ACTION,2,32,2432,generated,true,10,55,2,0.02,0,0
9f4a7c15d6e8b301,2400,ACTION,2,33,2433,generated,true,116,74,2,0.02,0.02,0
9f4a7c15d6e8b301,2400,ACTION,2,34,2434,generated,true,102,90,2,0.02,-0.01,0
9f4a7c15d6e8b301,2400,ACTION,2,35,2435,generated,true,4,67,2,-0.02,0.01,0
