seed,snapshot,domain,slot,selected_ordinal,c1_ordinal,c2_ordinal,selected_utility,c1_utility,c2_utility,utility_stratum,first_dx_units,first_dy_units,second_dx_units,second_dy_units,vector_residual_x,vector_residual_y,magnitude_error_units,selected_c1_utility_gap,c1_c2_utility_gap,status,duplicate_cc
510e527fade682d1,2400,D1_EXACT_VECTOR,1,16,-1,-1,6.275177002e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
510e527fade682d1,2400,D2_MAGNITUDE_ONLY,0,16,18,-1,6.275177002e-4,5.921125412e-4,,1,0,2,-1,-1,0,0,NaN,3.540515900e-5,,NO_C2,false
510e527fade682d1,2400,D2_MAGNITUDE_ONLY,1,16,-1,-1,6.275177002e-4,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
510e527fade682d1,4200,D1_EXACT_VECTOR,0,17,-1,-1,4.881620407e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
510e527fade682d1,4200,D1_EXACT_VECTOR,1,17,-1,-1,4.881620407e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
510e527fade682d1,4200,D2_MAGNITUDE_ONLY,0,17,-1,-1,4.881620407e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
510e527fade682d1,4200,D2_MAGNITUDE_ONLY,1,17,-1,-1,4.881620407e-3,,,1,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
1f83d9abfb41bd6b,600,D1_EXACT_VECTOR,0,15,32,-1,3.158450127e-4,3.083944321e-4,,1,2,-6,-1,-1,0,0,NaN,7.450580597e-6,,NO_C2,false
1f83d9abfb41bd6b,600,D1_EXACT_VECTOR,1,15,34,-1,3.158450127e-4,2.779364586e-4,,1,2,-5,-1,-1,0,0,NaN,3.790855408e-5,,NO_C2,false
1f83d9abfb41bd6b,600,D2_MAGNITUDE_ONLY,0,15,32,-1,3.158450127e-4,3.083944321e-4,,1,2,-6,-1,-1,0,0,NaN,7.450580597e-6,,NO_C2,false
1f83d9abfb41bd6b,600,D2_MAGNITUDE_ONLY,1,15,34,-1,3.158450127e-4,2.779364586e-4,,1,2,-5,-1,-1,0,0,NaN,3.790855408e-5,,NO_C2,false
1f83d9abfb41bd6b,2400,D1_EXACT_VECTOR,0,15,3,-1,3.001093864e-4,3.026127815e-4,,1,4,-2,-1,-1,0,0,NaN,2.503395081e-6,,NO_C2,false
1f83d9abfb41bd6b,2400,D1_EXACT_VECTOR,1,15,38,-1,3.001093864e-4,2.954006195e-4,,1,5,-2,-1,-1,0,0,NaN,4.708766937e-6,,NO_C2,false
1f83d9abfb41bd6b,2400,D2_MAGNITUDE_ONLY,0,15,3,10,3.001093864e-4,3.026127815e-4,2.728700638e-4,1,4,-2,4,0,0,-2,4.721359549996e-1,2.503395081e-6,2.974271774e-5,MATCHED,false
1f83d9abfb41bd6b,2400,D2_MAGNITUDE_ONLY,1,15,38,17,3.001093864e-4,2.954006195e-4,3.300309181e-4,1,5,-2,-5,0,10,-2,3.851648071345e-1,4.708766937e-6,3.463029861e-5,MATCHED,false
1f83d9abfb41bd6b,4200,D1_EXACT_VECTOR,0,13,-1,-1,-7.721185684e-4,,,2,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
1f83d9abfb41bd6b,4200,D1_EXACT_VECTOR,1,13,-1,-1,-7.721185684e-4,,,2,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
1f83d9abfb41bd6b,4200,D2_MAGNITUDE_ONLY,0,13,-1,-1,-7.721185684e-4,,,2,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
1f83d9abfb41bd6b,4200,D2_MAGNITUDE_ONLY,1,13,-1,-1,-7.721185684e-4,,,2,-1,-1,-1,-1,0,0,NaN,,,NO_C1,false
