seed,snapshot,domain,slot,pair_kind,horizon,program_a_ordinal,program_b_ordinal,complete_horizon,delta_a,delta_ancestor,delta_b,source_interaction,identity_residual,path_divergent,differing_commits,first_difference,cumulative_action_l1,net_displacement_l1,invalid_path_a,invalid_path_ancestor,invalid_path_b
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,1,G_C1,4,44,2,true,-3.924965858459e-5,-3.924965858459e-5,-3.924965858459e-5,0.000000000000e0,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,1,G_C1,8,44,2,true,-7.954239845276e-5,-8.019804954529e-5,-7.954239845276e-5,0.000000000000e0,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,1,G_C1,16,44,2,true,-1.720190048218e-4,-1.726746559143e-4,-1.720190048218e-4,0.000000000000e0,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,1,G_C1,32,44,2,true,-1.641809940338e-4,-1.559257507324e-4,-1.679062843323e-4,3.725290298462e-6,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,2400,D2_MAGNITUDE_ONLY,1,G_C1,64,44,2,true,-1.383721828461e-4,-1.018643379211e-4,-1.186132431030e-4,-1.975893974304e-5,0.000000000000e0,true,20,18,1.1399999745190144,0.5999999865889549,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,G_C1,1,17,5,true,2.384185791016e-7,2.384185791016e-7,2.384185791016e-7,0.000000000000e0,0.000000000000e0,true,25,1,1.4549999674782157,0.7949999822303653,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,G_C1,2,17,5,true,2.345442771912e-5,3.731250762939e-4,3.731250762939e-4,-3.496706485748e-4,0.000000000000e0,true,25,1,1.4549999674782157,0.7949999822303653,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,G_C1,4,17,5,true,1.975893974304e-5,3.954172134399e-4,3.954172134399e-4,-3.756582736969e-4,0.000000000000e0,true,25,1,1.4549999674782157,0.7949999822303653,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,G_C1,8,17,5,true,-1.696646213531e-4,2.049505710602e-4,2.049505710602e-4,-3.746151924133e-4,0.000000000000e0,true,25,1,1.4549999674782157,0.7949999822303653,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,G_C1,16,17,5,true,2.939701080322e-4,5.638003349304e-4,5.638003349304e-4,-2.698302268982e-4,0.000000000000e0,true,25,1,1.4549999674782157,0.7949999822303653,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,G_C1,32,17,5,true,2.349019050598e-4,5.489587783813e-4,5.489587783813e-4,-3.140568733215e-4,0.000000000000e0,true,25,1,1.4549999674782157,0.7949999822303653,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,G_C1,64,17,5,true,8.539855480194e-4,1.515030860901e-3,1.515030860901e-3,-6.610453128815e-4,0.000000000000e0,true,25,1,1.4549999674782157,0.7949999822303653,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,C1_C2,1,5,15,true,-3.129243850708e-5,-3.129243850708e-5,-3.129243850708e-5,0.000000000000e0,0.000000000000e0,true,20,1,1.0499999765306711,0.6099999863654375,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,C1_C2,2,5,15,true,-4.042685031891e-4,-4.042685031891e-4,-5.620718002319e-5,-3.480613231659e-4,0.000000000000e0,true,20,1,1.0499999765306711,0.6099999863654375,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,C1_C2,4,5,15,true,-4.282891750336e-4,-4.282891750336e-4,-5.188584327698e-5,-3.764033317566e-4,0.000000000000e0,true,20,1,1.0499999765306711,0.6099999863654375,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,C1_C2,8,5,15,true,-2.334117889404e-4,-2.334117889404e-4,1.420080661774e-4,-3.754198551178e-4,0.000000000000e0,true,20,1,1.0499999765306711,0.6099999863654375,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,C1_C2,16,5,15,true,-6.023943424225e-4,-6.023943424225e-4,-4.431009292603e-4,-1.592934131622e-4,0.000000000000e0,true,20,1,1.0499999765306711,0.6099999863654375,0,0,0
9f4a7c15d6e8b301,4200,D2_MAGNITUDE_ONLY,0,C1_C2,32,5,15,true,-5.874633789062e-4,-5.874633789062e-4,-2.875328063965e-4,-2.999305725098e-4,0.000000000000e0,true,20,1,1.0499999765306711,0.6099999863654375,0,0,0
