dataset_index,initialization_index,stream_seed,arm,step,train_loss,evaluation_loss,evaluation_accuracy,parameter_fingerprint
1,2,a303ea000000000c,hash_placebo,600,8.912818432e-1,1.066307902e0,0.468750,e956d33e421be7bc
1,2,a303ea000000000c,hash_placebo,2400,4.653446376e-1,1.478372097e0,0.520833,ab8ecd6fb93432bc
1,2,a303ea000000000c,hash_placebo,4200,2.228057534e-1,1.961170197e0,0.541667,bbba353eae4d4ab7
2,0,a303ea000000000d,projected_order_1d,0,1.104330182e0,1.070959687e0,0.489583,9af297d07da8ccef
2,0,a303ea000000000d,projected_order_1d,600,8.451796174e-1,1.064625025e0,0.447917,f9ae35d59ad16982
2,0,a303ea000000000d,projected_order_1d,2400,5.084280372e-1,1.100554347e0,0.614583,7207260b588f3570
2,0,a303ea000000000d,projected_order_1d,4200,2.395137697e-1,1.393144965e0,0.593750,94d68b2fc9059445
2,0,a303ea000000000d,hash_placebo,0,1.104330182e0,1.070959687e0,0.489583,9af297d07da8ccef
2,0,a303ea000000000d,hash_placebo,600,8.547735214e-1,1.076242208e0,0.395833,d14fcb3453325e4e
2,0,a303ea000000000d,hash_placebo,2400,4.554735124e-1,1.151138306e0,0.520833,09dc5c7d9eb41367
2,0,a303ea000000000d,hash_placebo,4200,2.297939211e-1,1.575278759e0,0.562500,c37e7e8b31e306cb
2,0,a303ea000000000e,projected_order_1d,0,1.104330182e0,1.070959687e0,0.489583,9af297d07da8ccef
2,0,a303ea000000000e,projected_order_1d,600,8.585029244e-1,1.085315585e0,0.437500,0355af90ac4d6546
2,0,a303ea000000000e,projected_order_1d,2400,3.869115114e-1,1.253807902e0,0.552083,913802172ef18afb
2,0,a303ea000000000e,projected_order_1d,4200,1.644330770e-1,1.894483924e0,0.583333,aaf3dfc7bcd9dcc0
2,0,a303ea000000000e,hash_placebo,0,1.104330182e0,1.070959687e0,0.489583,9af297d07da8ccef
2,0,a303ea000000000e,hash_placebo,600,8.628542423e-1,1.082941771e0,0.427083,f116c8ca694455f4
2,0,a303ea000000000e,hash_placebo,2400,4.819760621e-1,1.255834699e0,0.520833,98d3153d4e26dc07
2,0,a303ea000000000e,hash_placebo,4200,2.555190027e-1,1.386531472e0,0.531250,efb2df07022531a4
2,1,a303ea000000000f,projected_order_1d,0,1.106976151e0,1.103957057e0,0.333333,8f7eaa706e75bec2
2,1,a303ea000000000f,projected_order_1d,600,9.243013263e-1,1.154781342e0,0.406250,3dc66df49b3005ab
2,1,a303ea000000000f,projected_order_1d,2400,5.014811158e-1,1.134359956e0,0.541667,de6aa9e01310e923
2,1,a303ea000000000f,projected_order_1d,4200,2.297025919e-1,1.436116338e0,0.677083,9b6ae118fb07dd3c
2,1,a303ea000000000f,hash_placebo,0,1.106976151e0,1.103957057e0,0.333333,8f7eaa706e75bec2
