seed,snapshot_step,control_slot,horizon,pg_valid,pc_valid,delta_pg,delta_pc,source_interaction,cumulative_j_pg,cumulative_j_pc,distance_pg,distance_pc,pg_invalid_step,pc_invalid_step
6a09e667f3bcc909,4200,1,64,true,true,-2.426564693451e-3,-1.802325248718e-3,-6.242394447327e-4,-2.468079328537e-3,-1.843839883804e-3,9.999990463257e-3,9.999990463257e-3,0,0
bb67ae8584caa73b,600,0,1,true,true,-1.847743988037e-5,-1.847743988037e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.000000163913e-2,1.000000163913e-2,0,0
bb67ae8584caa73b,600,0,2,true,true,8.463859558105e-6,8.463859558105e-6,0.000000000000e0,2.694129943848e-5,2.694129943848e-5,1.000000163913e-2,1.000000163913e-2,0,0
bb67ae8584caa73b,600,0,4,true,true,3.862380981445e-5,3.862380981445e-5,0.000000000000e0,5.710124969482e-5,5.710124969482e-5,1.000000163913e-2,1.000000163913e-2,0,0
bb67ae8584caa73b,600,0,8,true,true,1.388788223267e-5,1.388788223267e-5,0.000000000000e0,3.236532211304e-5,3.236532211304e-5,1.000000163913e-2,1.000000163913e-2,0,0
bb67ae8584caa73b,600,0,16,true,true,-6.210803985596e-5,-6.210803985596e-5,0.000000000000e0,-4.363059997559e-5,-4.363059997559e-5,1.000000163913e-2,1.000000163913e-2,0,0
bb67ae8584caa73b,600,0,32,true,true,-2.932548522949e-5,-4.291534423828e-5,1.358985900879e-5,-1.084804534912e-5,-2.443790435791e-5,1.000000163913e-2,1.000000163913e-2,0,0
bb67ae8584caa73b,600,0,64,true,true,-8.326768875122e-5,-1.103878021240e-4,2.712011337280e-5,-6.479024887085e-5,-9.191036224365e-5,1.000000163913e-2,1.000000163913e-2,0,0
bb67ae8584caa73b,600,1,1,true,true,-2.974271774292e-5,-2.974271774292e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.500000059605e-2,1.500000059605e-2,0,0
bb67ae8584caa73b,600,1,2,true,true,1.013278961182e-5,1.013278961182e-5,0.000000000000e0,3.987550735474e-5,3.987550735474e-5,1.500000059605e-2,1.500000059605e-2,0,0
bb67ae8584caa73b,600,1,4,true,true,5.549192428589e-5,5.549192428589e-5,0.000000000000e0,8.523464202881e-5,8.523464202881e-5,1.500000059605e-2,1.500000059605e-2,0,0
bb67ae8584caa73b,600,1,8,true,true,1.853704452515e-5,1.853704452515e-5,0.000000000000e0,4.827976226807e-5,4.827976226807e-5,1.500000059605e-2,1.500000059605e-2,0,0
bb67ae8584caa73b,600,1,16,true,true,-9.542703628540e-5,-9.542703628540e-5,0.000000000000e0,-6.568431854248e-5,-6.568431854248e-5,1.500000059605e-2,1.500000059605e-2,0,0
bb67ae8584caa73b,600,1,32,true,true,-4.595518112183e-5,-6.610155105591e-5,2.014636993408e-5,-1.621246337891e-5,-3.635883331299e-5,1.500000059605e-2,1.500000059605e-2,0,0
bb67ae8584caa73b,600,1,64,true,true,-1.266598701477e-4,-1.669526100159e-4,4.029273986816e-5,-9.691715240479e-5,-1.372098922729e-4,1.500000059605e-2,1.500000059605e-2,0,0
bb67ae8584caa73b,2400,0,1,true,true,1.227855682373e-5,1.227855682373e-5,0.000000000000e0,0.000000000000e0,0.000000000000e0,1.499998569489e-2,1.499998569489e-2,0,0
bb67ae8584caa73b,2400,0,2,true,true,2.459585666656e-4,2.459585666656e-4,0.000000000000e0,2.336800098419e-4,2.336800098419e-4,1.499998569489e-2,1.499998569489e-2,0,0
bb67ae8584caa73b,2400,0,4,true,true,6.574690341949e-4,6.574690341949e-4,0.000000000000e0,6.451904773712e-4,6.451904773712e-4,1.499998569489e-2,1.499998569489e-2,0,0
bb67ae8584caa73b,2400,0,8,true,true,2.756714820862e-4,3.502368927002e-4,-7.456541061401e-5,2.633929252625e-4,3.379583358765e-4,1.499998569489e-2,1.499998569489e-2,0,0
bb67ae8584caa73b,2400,0,16,true,true,5.258321762085e-4,4.625618457794e-4,6.327033042908e-5,5.135536193848e-4,4.502832889557e-4,1.499998569489e-2,1.499998569489e-2,0,0
bb67ae8584caa73b,2400,0,32,true,true,1.129508018494e-5,-5.567073822021e-5,6.696581840515e-5,-9.834766387939e-7,-6.794929504395e-5,1.499998569489e-2,1.499998569489e-2,0,0
bb67ae8584caa73b,2400,0,64,true,true,-6.968975067139e-4,-8.372366428375e-4,1.403391361237e-4,-7.091760635376e-4,-8.495151996613e-4,1.499998569489e-2,1.499998569489e-2,0,0
