seed,step,method,panel,candidate_count,utility_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization
96e104bd3c72a85f,600,hash_placebo_02,59,122,1.665534548645e-4,0.336538462,6.088099326007e-4,6.088099326007e-4,false
96e104bd3c72a85f,600,hash_placebo_02,60,122,1.479118719487e-4,0.298076923,3.338400565553e-4,3.338400565553e-4,false
96e104bd3c72a85f,600,hash_placebo_02,61,122,1.972829994585e-4,0.298076923,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_02,62,122,3.054957585272e-4,0.201923077,2.251646365039e-4,2.251646365039e-4,false
96e104bd3c72a85f,600,hash_placebo_02,63,122,1.859295957993e-4,0.211538462,2.251646365039e-4,2.251646365039e-4,false
96e104bd3c72a85f,600,hash_placebo_03,0,122,3.374576165346e-4,0.182692308,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_03,1,122,2.143764651950e-4,0.192307692,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_03,2,122,3.052460027689e-4,0.442307692,3.527111257426e-4,3.527111257426e-4,false
96e104bd3c72a85f,600,hash_placebo_03,3,122,2.608699231698e-4,0.221153846,3.338400565553e-4,3.338400565553e-4,false
96e104bd3c72a85f,600,hash_placebo_03,4,122,2.820820783936e-4,0.461538462,6.088099326007e-4,6.088099326007e-4,false
96e104bd3c72a85f,600,hash_placebo_03,5,122,4.886646654524e-4,0.317307692,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_03,6,122,3.129739057337e-4,0.240384615,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_03,7,122,2.151290183481e-4,0.192307692,3.527111257426e-4,3.527111257426e-4,false
96e104bd3c72a85f,600,hash_placebo_03,8,122,2.071271301782e-4,0.317307692,6.088099326007e-4,6.088099326007e-4,false
96e104bd3c72a85f,600,hash_placebo_03,9,122,3.185750460445e-4,0.375000000,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_03,10,122,1.966482677561e-4,0.192307692,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_03,11,122,1.903346388644e-4,0.240384615,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_03,12,122,3.599463897164e-4,0.346153846,5.708523240173e-4,5.708523240173e-4,false
96e104bd3c72a85f,600,hash_placebo_03,13,122,2.122911582921e-4,0.173076923,6.403426523320e-4,6.429931963794e-4,false
96e104bd3c72a85f,600,hash_placebo_03,14,122,3.814532686906e-4,0.278846154,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_03,15,122,3.866755581733e-4,0.336538462,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_03,16,122,2.831855065642e-4,0.346153846,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_03,17,122,1.452130179995e-4,0.240384615,0.000000000000e0,0.000000000000e0,false
96e104bd3c72a85f,600,hash_placebo_03,18,122,2.320483940650e-4,0.298076923,7.365128840320e-4,1.352457969915e-3,true
96e104bd3c72a85f,600,hash_placebo_03,19,122,2.539676856128e-4,0.153846154,6.403426523320e-4,6.429931963794e-4,false
