seed,step,scale,method,panel,candidate_count,utility_rmse,sign_error_rate,cross_block_regret,selected_program_regret,false_authorization
9d047ac26e31b58f,600,0.5,hash_placebo_02,59,170,2.053244812282e-4,0.252941176,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,60,170,1.561608661402e-4,0.288235294,1.747633214109e-4,2.042918349616e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,61,170,1.360967404351e-4,0.270588235,3.504306223476e-4,3.504306223476e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,62,170,1.301688882174e-4,0.229411765,4.287691335776e-4,4.287691335776e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_02,63,170,1.202852102699e-4,0.294117647,2.386868291069e-4,2.386868291069e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_03,0,170,1.563379684263e-4,0.264705882,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_03,1,170,1.562849331574e-4,0.276470588,0.000000000000e0,0.000000000000e0,false
9d047ac26e31b58f,600,0.5,hash_placebo_03,2,170,1.789451610718e-4,0.317647059,4.845522535106e-4,4.845522535106e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_03,3,170,1.828904911424e-4,0.317647059,4.676493699662e-4,5.145985833224e-4,true
9d047ac26e31b58f,600,0.5,hash_placebo_03,4,170,1.134414935899e-4,0.170588235,1.747633214109e-4,1.747633214109e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_03,5,170,1.321163970365e-4,0.223529412,6.447255145758e-6,6.447255145758e-6,false
9d047ac26e31b58f,600,0.5,hash_placebo_03,6,170,1.933950037184e-4,0.323529412,4.928435082547e-4,7.045616948744e-4,true
9d047ac26e31b58f,600,0.5,hash_placebo_03,7,170,1.153514954305e-4,0.211764706,2.111972717103e-4,2.111972717103e-4,false
9d047ac26e31b58f,600,0.5,hash_placebo_03,8,170,1.597873749754e-4,0.276470588,1.747633214109e-4,2.042918349616e-4,false
