cell_id,arm,stage,action_id,operational_utility,final_utility
0,training_full96,600,93,-1.088380813599e-4,1.203417778015e-3
0,training_full96,600,94,1.589655876160e-4,1.731276512146e-3
0,training_full96,600,95,2.788901329041e-4,3.412127494812e-3
0,training_full96,600,96,1.530051231384e-4,2.268910408020e-3
0,training_full96,600,97,9.202957153320e-5,1.150727272034e-3
0,training_full96,600,98,-7.581710815430e-5,5.846023559570e-4
0,training_full96,600,99,-1.412034034729e-4,9.392499923706e-4
0,training_full96,600,100,-2.491474151611e-4,1.019239425659e-3
0,training_full96,600,101,-7.448196411133e-4,1.633524894714e-3
0,training_full96,600,102,5.022883415222e-4,4.563331604004e-4
0,training_full96,600,103,3.335475921631e-4,2.456903457642e-4
0,training_full96,600,104,1.906752586365e-4,2.835869789124e-3
0,training_full96,600,105,1.229047775269e-4,2.784848213196e-3
0,training_full96,600,106,1.474618911743e-4,-5.042552947998e-5
0,training_full96,600,107,4.863739013672e-5,-7.379055023193e-5
0,training_full96,600,108,3.480911254883e-5,-7.737874984741e-4
0,training_full96,600,109,1.561641693115e-5,-3.958940505981e-4
0,training_full96,600,110,-3.463029861450e-5,-4.026889801025e-4
0,training_full96,600,111,-9.298324584961e-5,-4.104375839233e-4
0,training_full96,600,112,1.543760299683e-5,2.572536468506e-4
0,training_full96,600,113,-3.677606582642e-5,5.350112915039e-4
0,training_full96,600,114,5.424022674561e-5,1.689195632935e-4
0,training_full96,600,115,3.474950790405e-5,5.006790161133e-4
0,training_full96,600,116,9.673833847046e-5,-4.088878631592e-5
0,training_full96,600,117,1.788139343262e-5,-1.469850540161e-4
0,training_full96,600,118,2.354383468628e-4,1.727342605591e-4
0,training_full96,600,119,2.433061599731e-4,-2.380609512329e-4
0,training_full96,600,120,1.831054687500e-4,-2.400755882263e-3
0,training_full96,600,121,1.069307327271e-4,-1.221776008606e-3
0,training_full96,600,122,2.264380455017e-4,-8.586645126343e-4
0,training_full96,600,123,1.174211502075e-4,-4.301071166992e-4
0,training_full96,600,124,-3.933906555176e-5,-4.080533981323e-4
0,training_full96,600,125,-3.266334533691e-5,-2.198219299316e-4
0,training_full96,600,126,1.001358032227e-5,1.749992370605e-4
0,training_full96,600,127,-5.871057510376e-5,9.298324584961e-6
0,training_full96,600,128,2.920627593994e-5,9.405612945557e-5
0,training_full96,600,129,3.635883331299e-5,1.956224441528e-4
0,training_full96,600,130,3.856420516968e-5,2.226829528809e-4
0,training_full96,600,131,2.026557922363e-5,1.124143600464e-4
0,training_full96,600,132,-3.850460052490e-5,-6.422996520996e-4
0,training_full96,600,133,-1.907348632812e-5,-6.320476531982e-4
0,training_full96,600,134,2.822875976562e-4,-3.399968147278e-3
0,training_full96,600,135,1.441836357117e-4,-1.695990562439e-3
0,training_full96,600,136,-6.792545318604e-4,1.288294792175e-3
0,training_full96,600,137,-3.367662429810e-4,6.471872329712e-4
0,training_full96,600,138,2.187490463257e-5,-2.545118331909e-4
0,training_full96,600,139,2.402067184448e-5,-2.398490905762e-4
0,training_full96,600,140,-4.839897155762e-5,-6.158351898193e-3
0,training_full96,600,141,1.701116561890e-4,-3.043055534363e-3
0,training_full96,600,142,-1.128911972046e-4,4.759788513184e-3
0,training_full96,600,143,9.298324584961e-5,2.446293830872e-3
0,training_full96,600,144,-5.242824554443e-4,5.063652992249e-3
0,training_full96,600,145,-1.738667488098e-4,2.559065818787e-3
0,training_full96,600,146,-2.294778823853e-5,1.657366752625e-3
0,training_full96,600,147,-3.052353858948e-4,-2.791285514832e-3
0,training_full96,600,148,-4.703998565674e-4,-2.611041069031e-3
0,training_full96,600,149,-1.187860965729e-3,-5.990386009216e-3
0,training_full96,600,150,-2.920627593994e-5,-5.952119827271e-3
0,training_full96,600,151,-4.225969314575e-5,-6.180286407471e-3
0,training_full96,600,152,-4.132390022278e-4,-1.539349555969e-3
0,training_full96,600,153,-3.259778022766e-4,-3.490328788757e-3
0,training_full96,600,154,-7.515549659729e-4,3.530383110046e-3
0,training_full96,600,155,-3.318786621094e-4,1.809835433960e-3
0,training_full96,600,156,2.078413963318e-4,1.431703567505e-4
0,training_full96,600,157,1.153945922852e-4,8.451938629150e-5
0,training_full96,600,158,-1.865625381470e-5,-2.729892730713e-5
0,training_full96,600,159,1.114606857300e-5,1.144409179688e-5
0,training_full96,600,160,9.393692016602e-5,-2.807378768921e-4
0,training_full96,600,161,4.744529724121e-5,-1.467466354370e-4
0,training_full96,600,162,-4.410743713379e-6,6.477832794189e-4
0,training_full96,600,163,3.802776336670e-5,1.918077468872e-4
0,training_full96,600,164,7.432699203491e-5,-3.138780593872e-4
0,training_full96,600,165,4.458427429199e-5,-1.503229141235e-4
0,training_full96,600,166,8.416175842285e-5,-9.008646011353e-4
0,training_full96,600,167,1.229047775269e-4,-1.245737075806e-4
0,training_full96,600,168,-5.757808685303e-5,2.801418304443e-4
0,training_full96,600,169,-2.884864807129e-5,2.377033233643e-4
0,training_full96,2400,0,-2.889558672905e-4,6.386280059814e-3
0,training_full96,2400,1,-1.147538423538e-4,3.103971481323e-3
0,training_full96,2400,2,-1.247227191925e-5,-5.716562271118e-3
0,training_full96,2400,3,-2.350658178329e-5,-6.695985794067e-3
0,training_full96,2400,4,-2.791285514832e-4,-1.513981819153e-2
0,training_full96,2400,5,-1.097097992897e-4,-1.732444763184e-2
0,training_full96,2400,6,-4.194155335426e-4,-6.654262542725e-3
0,training_full96,2400,7,-1.373514533043e-4,-3.122568130493e-3
0,training_full96,2400,8,-6.996095180511e-6,-1.063585281372e-3
0,training_full96,2400,9,-5.568936467171e-5,5.033493041992e-3
0,training_full96,2400,10,-4.648454487324e-4,-2.146530151367e-2
0,training_full96,2400,11,-1.671984791756e-4,-9.524583816528e-3
0,training_full96,2400,12,-6.295740604401e-5,2.231597900391e-3
0,training_full96,2400,13,-3.722682595253e-5,1.403808593750e-3
0,training_full96,2400,14,-1.651793718338e-5,-1.250934600830e-2
0,training_full96,2400,15,1.376122236252e-5,-6.183147430420e-3
0,training_full96,2400,16,-9.095668792725e-5,8.058547973633e-3
0,training_full96,2400,17,-1.406669616699e-5,4.085540771484e-3
0,training_full96,2400,18,-1.775994896889e-4,-7.069110870361e-4
0,training_full96,2400,19,-3.639608621597e-5,-1.573562622070e-4
0,training_full96,2400,20,-4.075467586517e-6,-2.813339233398e-5
0,training_full96,2400,21,9.577721357346e-6,6.482601165771e-4
0,training_full96,2400,22,1.193583011627e-5,-1.914024353027e-3
0,training_full96,2400,23,-5.955249071121e-5,-3.390789031982e-3
0,training_full96,2400,24,-5.461350083351e-4,-9.102344512939e-3
0,training_full96,2400,25,-2.935566008091e-4,-5.400657653809e-3
0,training_full96,2400,26,-8.422881364822e-5,9.233236312866e-3
0,training_full96,2400,27,-6.280839443207e-5,2.304792404175e-3
0,training_full96,2400,28,-1.960285007954e-4,-3.888130187988e-3
0,training_full96,2400,29,-7.944554090500e-5,-1.818656921387e-3
0,training_full96,2400,30,-7.717683911324e-5,-1.685667037964e-2
0,training_full96,2400,31,-2.365559339523e-5,-8.378028869629e-3
0,training_full96,2400,32,0.000000000000e0,0.000000000000e0
0,training_full96,2400,33,-3.109872341156e-5,-3.620386123657e-3
0,training_full96,2400,34,-3.664195537567e-4,-1.188755035400e-3
0,training_full96,2400,35,-1.700296998024e-4,-5.877017974854e-4
0,training_full96,2400,36,-1.052618026733e-4,-3.318309783936e-3
0,training_full96,2400,37,-4.461407661438e-5,-1.959323883057e-3
0,training_full96,2400,38,-3.928244113922e-4,-5.300045013428e-3
0,training_full96,2400,39,-1.778826117516e-4,-4.355907440186e-3
0,training_full96,2400,40,-6.967335939407e-4,-8.854866027832e-3
0,training_full96,2400,41,-3.064200282097e-4,-3.366947174072e-3
0,training_full96,2400,42,-1.942887902260e-4,5.563497543335e-3
0,training_full96,2400,43,-4.266574978828e-5,1.699209213257e-3
0,training_full96,2400,44,-1.115128397942e-4,-9.899139404297e-4
0,training_full96,2400,45,-1.774504780769e-4,-1.509189605713e-3
0,training_full96,2400,46,-2.250522375107e-4,-7.060050964355e-3
0,training_full96,2400,47,-9.731203317642e-5,-3.605365753174e-3
0,training_full96,2400,48,-1.011863350868e-4,6.496906280518e-3
0,training_full96,2400,49,-2.874806523323e-5,3.350257873535e-3
0,training_full96,2400,50,-3.274381160736e-4,5.399465560913e-3
0,training_full96,2400,51,-1.188740134239e-4,2.753257751465e-3
0,training_full96,2400,52,-2.098083496094e-4,-8.392333984375e-5
0,training_full96,2400,53,-8.256733417511e-5,1.189708709717e-4
0,training_full96,2400,54,-2.982765436172e-4,1.048469543457e-2
0,training_full96,2400,55,-1.117885112762e-4,6.468534469604e-3
0,training_full96,2400,56,-1.005977392197e-4,1.371431350708e-2
0,training_full96,2400,57,-7.322430610657e-5,7.600307464600e-3
0,training_full96,2400,58,-1.516826450825e-4,-5.004882812500e-3
0,training_full96,2400,59,-3.800168633461e-5,-2.374172210693e-3
0,training_full96,2400,60,6.748363375664e-5,-5.002021789551e-4
0,training_full96,2400,61,4.411861300468e-5,-1.820564270020e-3
0,training_full96,2400,62,4.423409700394e-5,-1.373052597046e-2
0,training_full96,2400,63,4.645809531212e-5,-6.917953491211e-3
0,training_full96,2400,64,-1.295395195484e-4,1.579189300537e-2
0,training_full96,2400,65,-4.600733518600e-5,8.030414581299e-3
0,training_full96,2400,66,-1.640990376472e-5,-7.500648498535e-4
0,training_full96,2400,67,3.906339406967e-5,-1.506805419922e-4
0,training_full96,2400,68,-6.479769945145e-5,-6.701946258545e-3
0,training_full96,2400,69,-2.225115895271e-5,-3.268718719482e-3
0,training_full96,2400,70,-9.583681821823e-5,4.473686218262e-3
0,training_full96,2400,71,-2.279877662659e-5,3.539085388184e-3
0,training_full96,2400,72,-8.412078022957e-5,-5.273818969727e-4
0,training_full96,2400,73,-1.126900315285e-5,3.752708435059e-4
0,training_full96,2400,74,-1.648142933846e-4,8.782386779785e-3
0,training_full96,2400,75,-4.215911030769e-5,4.417419433594e-3
0,training_full96,2400,76,-2.664700150490e-4,7.415533065796e-3
0,training_full96,2400,77,-8.112192153931e-5,3.813743591309e-3
0,training_full96,2400,78,-1.824386417866e-4,-5.780458450317e-3
0,training_full96,2400,79,-6.386637687683e-5,-3.016471862793e-3
0,training_full96,2400,80,-6.140768527985e-5,4.442691802979e-3
0,training_full96,2400,81,-1.734867691994e-5,2.275943756104e-3
0,training_full96,2400,82,-9.765475988388e-5,-5.776882171631e-3
0,training_full96,2400,83,-3.001093864441e-5,-2.818346023560e-3
0,training_full96,2400,84,-1.269616186619e-4,-1.311612129211e-2
0,training_full96,2400,85,-4.047527909279e-5,-6.724834442139e-3
0,training_full96,2400,86,-1.852661371231e-4,-2.404689788818e-3
0,training_full96,2400,87,-5.859136581421e-5,-1.105308532715e-3
0,training_full96,2400,88,-1.443997025490e-4,8.526802062988e-3
0,training_full96,2400,89,-5.280226469040e-5,4.302740097046e-3
0,training_full96,2400,90,-1.605823636055e-4,-1.304721832275e-2
0,training_full96,2400,91,-5.280226469040e-5,-6.770372390747e-3
