cell_id,arm,step,train_loss,parameter_offset,parameter_count
17,sentinel_rotating128,2400,6.448622941971e-1,146376,171
17,sentinel_rotating128,4200,5.988726019859e-1,147060,171
18,training_full96,0,1.094594120979e0,147744,171
18,training_full96,600,6.968178153038e-1,148428,171
18,training_full96,2400,4.935668408871e-2,149112,171
18,training_full96,4200,1.375911087962e-4,149796,171
18,sentinel_fixed128,0,1.094594120979e0,150480,171
18,sentinel_fixed128,600,1.016639232635e0,151164,171
18,sentinel_fixed128,2400,1.529570937157e0,151848,171
18,sentinel_fixed128,4200,2.496191740036e0,152532,171
18,sentinel_rotating128,0,1.094594120979e0,153216,171
18,sentinel_rotating128,600,9.333274960518e-1,153900,171
18,sentinel_rotating128,2400,7.665755748749e-1,154584,171
18,sentinel_rotating128,4200,6.556689143181e-1,155268,171
19,training_full96,0,1.085538744926e0,155952,171
19,training_full96,600,6.561415195465e-1,156636,171
19,training_full96,2400,6.408046931028e-2,157320,171
19,training_full96,4200,4.547933640424e-4,158004,171
19,sentinel_fixed128,0,1.085538744926e0,158688,171
19,sentinel_fixed128,600,9.498391747475e-1,159372,171
19,sentinel_fixed128,2400,1.645670771599e0,160056,171
19,sentinel_fixed128,4200,2.862295389175e0,160740,171
19,sentinel_rotating128,0,1.085538744926e0,161424,171
19,sentinel_rotating128,600,9.041188359261e-1,162108,171
19,sentinel_rotating128,2400,6.869735717773e-1,162792,171
19,sentinel_rotating128,4200,5.949572324753e-1,163476,171
20,training_full96,0,1.101016998291e0,164160,171
20,training_full96,600,6.740598678589e-1,164844,171
20,training_full96,2400,7.852307520807e-3,165528,171
20,training_full96,4200,2.565731701907e-4,166212,171
20,sentinel_fixed128,0,1.101016998291e0,166896,171
20,sentinel_fixed128,600,9.864882826805e-1,167580,171
20,sentinel_fixed128,2400,1.580599188805e0,168264,171
20,sentinel_fixed128,4200,2.713479280472e0,168948,171
20,sentinel_rotating128,0,1.101016998291e0,169632,171
20,sentinel_rotating128,600,9.456592202187e-1,170316,171
20,sentinel_rotating128,2400,6.888118386269e-1,171000,171
20,sentinel_rotating128,4200,6.418976783752e-1,171684,171
21,training_full96,0,1.120658755302e0,172368,171
21,training_full96,600,7.583901882172e-1,173052,171
21,training_full96,2400,5.550460144877e-2,173736,171
21,training_full96,4200,2.006108639762e-3,174420,171
21,sentinel_fixed128,0,1.120658755302e0,175104,171
21,sentinel_fixed128,600,9.784893989563e-1,175788,171
21,sentinel_fixed128,2400,1.310338377953e0,176472,171
21,sentinel_fixed128,4200,3.009115219116e0,177156,171
21,sentinel_rotating128,0,1.120658755302e0,177840,171
21,sentinel_rotating128,600,9.473775029182e-1,178524,171
21,sentinel_rotating128,2400,8.041138052940e-1,179208,171
21,sentinel_rotating128,4200,6.055089831352e-1,179892,171
22,training_full96,0,1.082196831703e0,180576,171
22,training_full96,600,5.840063691139e-1,181260,171
22,training_full96,2400,1.066863816231e-2,181944,171
22,training_full96,4200,1.047054956871e-5,182628,171
22,sentinel_fixed128,0,1.082196831703e0,183312,171
22,sentinel_fixed128,600,9.468646049500e-1,183996,171
22,sentinel_fixed128,2400,1.659733295441e0,184680,171
22,sentinel_fixed128,4200,4.656362056732e0,185364,171
22,sentinel_rotating128,0,1.082196831703e0,186048,171
22,sentinel_rotating128,600,9.314151406288e-1,186732,171
22,sentinel_rotating128,2400,7.029864192009e-1,187416,171
22,sentinel_rotating128,4200,6.409733891487e-1,188100,171
23,training_full96,0,1.094594120979e0,188784,171
23,training_full96,600,7.264013886452e-1,189468,171
23,training_full96,2400,3.421398624778e-2,190152,171
23,training_full96,4200,1.222714781761e-4,190836,171
23,sentinel_fixed128,0,1.094594120979e0,191520,171
23,sentinel_fixed128,600,9.477791786194e-1,192204,171
23,sentinel_fixed128,2400,1.108531594276e0,192888,171
23,sentinel_fixed128,4200,2.317759990692e0,193572,171
23,sentinel_rotating128,0,1.094594120979e0,194256,171
23,sentinel_rotating128,600,9.511788487434e-1,194940,171
23,sentinel_rotating128,2400,7.993078231812e-1,195624,171
23,sentinel_rotating128,4200,6.652948260307e-1,196308,171
24,training_full96,0,1.085538744926e0,196992,171
24,training_full96,600,6.509870290756e-1,197676,171
24,training_full96,2400,1.369023174047e-1,198360,171
24,training_full96,4200,9.399443864822e-3,199044,171
24,sentinel_fixed128,0,1.085538744926e0,199728,171
24,sentinel_fixed128,600,9.444880485535e-1,200412,171
24,sentinel_fixed128,2400,1.175536513329e0,201096,171
24,sentinel_fixed128,4200,1.894989371300e0,201780,171
24,sentinel_rotating128,0,1.085538744926e0,202464,171
24,sentinel_rotating128,600,9.624626636505e-1,203148,171
24,sentinel_rotating128,2400,6.936879158020e-1,203832,171
24,sentinel_rotating128,4200,5.811918377876e-1,204516,171
