dataset_index,initialization_index,stream_seed,state_step,parameter_fingerprint,train_loss,evaluation_candidate_count,r2_checkpoint
0,2,a303ea0000000005,625,db194b80259d99ea,0.945652664,170,false
0,2,a303ea0000000005,650,156af6069d7834ff,0.941799641,170,false
0,2,a303ea0000000005,700,56c4d25b65e5908f,0.931058884,170,false
0,2,a303ea0000000005,2400,a0058d6556968be5,0.761176586,170,true
0,2,a303ea0000000005,2425,87318a3107d9b219,0.761672497,170,false
0,2,a303ea0000000005,2450,5bd435bae0a53f52,0.759118974,170,false
0,2,a303ea0000000005,2500,2b5776b95bfec29a,0.750547230,170,false
0,2,a303ea0000000005,4200,c559b41da6e22294,0.391072780,170,true
0,2,a303ea0000000006,600,be9e3b7f08e201e6,1.030014157,170,true
0,2,a303ea0000000006,625,8d9d0441d84ea1ef,1.027720809,170,false
0,2,a303ea0000000006,650,92d6107a0f916921,1.025016308,170,false
0,2,a303ea0000000006,700,0c7c4190cf2ee6ad,1.010581017,170,false
0,2,a303ea0000000006,2400,7222143c265c420d,0.609638870,170,true
0,2,a303ea0000000006,2425,9e12f610a9b08bf5,0.607389331,170,false
0,2,a303ea0000000006,2450,5eae84b99301193e,0.599860430,170,false
0,2,a303ea0000000006,2500,5023e4824063eb11,0.593649268,170,false
0,2,a303ea0000000006,4200,0d1a40c3d68533f6,0.350525886,170,true
1,0,a303ea0000000007,600,635da981a5e3b070,0.940196216,170,true
1,0,a303ea0000000007,625,9598054bca41918b,0.934764326,170,false
1,0,a303ea0000000007,650,244e5af62ce1a598,0.917629957,170,false
1,0,a303ea0000000007,700,4d8fbc524b55c5e0,0.908755720,170,false
1,0,a303ea0000000007,2400,7d42e867b9dcdd01,0.465190411,170,true
1,0,a303ea0000000007,2425,5e3d4146bc440a62,0.464319319,170,false
1,0,a303ea0000000007,2450,b4fa42b19b62eba6,0.459511667,168,false
1,0,a303ea0000000007,2500,10935aa42b24ea6f,0.444525748,170,false
1,0,a303ea0000000007,4200,5238807ac6552f98,0.266895026,168,true
1,0,a303ea0000000008,600,2a7473c7ca35ab2b,0.959788799,170,true
1,0,a303ea0000000008,625,f889d90f966f777b,0.950578272,170,false
1,0,a303ea0000000008,650,f5a4910e1164ea5c,0.945665658,170,false
1,0,a303ea0000000008,700,f65380938204a3c5,0.934866726,170,false
1,0,a303ea0000000008,2400,bae71275fc4a06ff,0.568258584,170,true
1,0,a303ea0000000008,2425,526d29890dfecf1b,0.562270343,170,false
1,0,a303ea0000000008,2450,e23f42ff643fbcd6,0.553834140,170,false
1,0,a303ea0000000008,2500,b1db89b133fe2f68,0.539175570,170,false
1,0,a303ea0000000008,4200,09ce4680a4a85806,0.312638521,168,true
1,1,a303ea0000000009,600,6a69a0d8fc059bf9,0.979460537,170,true
1,1,a303ea0000000009,625,2fb817b4166ba8d4,0.973194122,170,false
1,1,a303ea0000000009,650,7e23b1793eab4ef2,0.971345127,170,false
1,1,a303ea0000000009,700,307cecef42341fdb,0.962950408,170,false
1,1,a303ea0000000009,2400,256da34869de36f2,0.561721325,170,true
1,1,a303ea0000000009,2425,b6ded7ac6dc3c803,0.558519661,170,false
1,1,a303ea0000000009,2450,9af72349838aea20,0.559334695,170,false
1,1,a303ea0000000009,2500,a8d777b203f4a6df,0.559654295,170,false
1,1,a303ea0000000009,4200,1c68e4b92e517b0d,0.426414698,170,true
1,1,a303ea000000000a,600,3397d497a8a44bcd,0.976919174,170,true
1,1,a303ea000000000a,625,1b5c501595f4d18c,0.972260714,170,false
1,1,a303ea000000000a,650,741d9c5ed958f98e,0.965102255,170,false
1,1,a303ea000000000a,700,04699baccc230962,0.960941851,170,false
1,1,a303ea000000000a,2400,efeaa2532635db68,0.609333932,170,true
1,1,a303ea000000000a,2425,d61ccab336ee5ce0,0.610072017,170,false
1,1,a303ea000000000a,2450,87be83ecb8b7efac,0.602714360,170,false
1,1,a303ea000000000a,2500,8765b4248d4d2631,0.591769755,170,false
1,1,a303ea000000000a,4200,9ee5e1627e8ee173,0.324845344,170,true
1,2,a303ea000000000b,600,1e7744abaf25c599,0.996262133,170,true
1,2,a303ea000000000b,625,855c53ca32ff5ae7,0.986414135,170,false
1,2,a303ea000000000b,650,5e3fadd1292fae4b,0.978563547,170,false
1,2,a303ea000000000b,700,1ecc342ef1100106,0.958199978,170,false
1,2,a303ea000000000b,2400,9881a84bdde75fc1,0.677567661,170,true
1,2,a303ea000000000b,2425,867361ffa035adfa,0.666159749,170,false
