method,dataset_index,initialization_index,stream_seed,state_step,feature_dimensions,feature_payload_bytes,feature_acquisition_median_ns,feature_acquisition_ns_per_example,partition_build_median_ns,partition_build_ns_per_example,measurement_repetitions
last_hidden_layer_72,1,1,a303ea0000000009,2400,72,55296,13600,141.667,2865400,29847.917,3
rademacher_projection_32,1,1,a303ea0000000009,2400,32,24576,178300,1857.292,2498300,26023.958,3
sign_gradient_171,1,1,a303ea0000000009,2400,171,131328,19600,204.167,3232500,33671.875,3
full_gradient_171,1,1,a303ea0000000009,4200,171,131328,17000,177.083,3143700,32746.875,3
output_layer_27,1,1,a303ea0000000009,4200,27,20736,10000,104.167,2520900,26259.375,3
last_hidden_layer_72,1,1,a303ea0000000009,4200,72,55296,13500,140.625,4225500,44015.625,3
rademacher_projection_32,1,1,a303ea0000000009,4200,32,24576,177900,1853.125,3987700,41538.542,3
sign_gradient_171,1,1,a303ea0000000009,4200,171,131328,19800,206.250,3438600,35818.750,3
full_gradient_171,1,1,a303ea000000000a,600,171,131328,17500,182.292,4004100,41709.375,3
output_layer_27,1,1,a303ea000000000a,600,27,20736,9400,97.917,1417500,14765.625,3
last_hidden_layer_72,1,1,a303ea000000000a,600,72,55296,13300,138.542,2557800,26643.750,3
rademacher_projection_32,1,1,a303ea000000000a,600,32,24576,243400,2535.417,3699600,38537.500,3
sign_gradient_171,1,1,a303ea000000000a,600,171,131328,24000,250.000,2771600,28870.833,3
full_gradient_171,1,1,a303ea000000000a,2400,171,131328,16700,173.958,5097800,53102.083,3
output_layer_27,1,1,a303ea000000000a,2400,27,20736,12700,132.292,2837600,29558.333,3
last_hidden_layer_72,1,1,a303ea000000000a,2400,72,55296,13800,143.750,3731100,38865.625,3
rademacher_projection_32,1,1,a303ea000000000a,2400,32,24576,182200,1897.917,4331100,45115.625,3
sign_gradient_171,1,1,a303ea000000000a,2400,171,131328,19600,204.167,2412600,25131.250,3
full_gradient_171,1,1,a303ea000000000a,4200,171,131328,25900,269.792,4092600,42631.250,3
output_layer_27,1,1,a303ea000000000a,4200,27,20736,10200,106.250,2719500,28328.125,3
last_hidden_layer_72,1,1,a303ea000000000a,4200,72,55296,13200,137.500,5298800,55195.833,3
