dataset_index,initialization_index,stream_seed,state_step,phase,anchor_step,offset_from_anchor,partition_age,method,candidate_count,within_stratum_utility_variance,predicted_rmse_v48,observed_panel_rmse_v48,sign_error_rate_v48,cross_block_regret_v48,selected_program_regret_v48,false_authorization_rate_v48
0,0,a303ea0000000001,650,freshness_stale,600,50,50,hash_placebo_07,170,2.084374185310e-5,4.659638515699e-4,4.634473943446e-4,0.312406994,4.528465085230e-4,5.116087810015e-4,0.156250000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,hash_placebo_05,170,2.154472789729e-5,4.737343653675e-4,4.524654021796e-4,0.310081845,4.477243192440e-4,4.924752699180e-4,0.125000000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,hash_placebo_02,170,2.135894301498e-5,4.716873856055e-4,4.776850307673e-4,0.320684524,4.721102659460e-4,5.204322187069e-4,0.125000000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,hash_placebo_00,170,2.164370057774e-5,4.748212446295e-4,4.778124055520e-4,0.319940476,4.278866269232e-4,4.871758346212e-4,0.140625000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,hash_placebo_01,170,2.118352598453e-5,4.697464518286e-4,4.593579468090e-4,0.303292411,4.428259820202e-4,4.742849718204e-4,0.093750000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,last_hidden_layer_72,170,1.321757474582e-5,3.710566941439e-4,3.835523339159e-4,0.285342262,4.537837653658e-4,4.960337079751e-4,0.109375000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,hash_placebo_06,170,2.142154235095e-5,4.723780966088e-4,4.652954854748e-4,0.309616815,4.498531099841e-4,4.961659576566e-4,0.140625000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,full_gradient_171,170,1.308619400699e-5,3.692079643049e-4,3.874647414921e-4,0.286644345,4.244834956211e-4,4.700512656086e-4,0.125000000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,output_layer_27,170,1.262175598112e-5,3.625970557014e-4,3.509020295794e-4,0.260323661,4.549062622914e-4,5.206886889368e-4,0.203125000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,rademacher_projection_32,170,1.383565016528e-5,3.796331859682e-4,3.685481604904e-4,0.278366815,4.502131625230e-4,5.115100099147e-4,0.156250000
0,0,a303ea0000000001,650,freshness_stale,600,50,50,hash_placebo_mean,170,2.127436288903e-5,4.707437033829e-4,4.675957706881e-4,0.312034970,4.388297769324e-4,4.829315468367e-4,0.121093750
0,0,a303ea0000000001,700,freshness_fresh,600,100,0,hash_placebo_00,170,2.136122277908e-5,4.717125579016e-4,4.610150042807e-4,0.301194853,4.432619944055e-4,4.674629262809e-4,0.046875000
0,0,a303ea0000000001,700,freshness_fresh,600,100,0,hash_placebo_01,170,2.060351027249e-5,4.632708696559e-4,4.729564165224e-4,0.299448529,4.001709331760e-4,4.093140296959e-4,0.000000000
