arm,epoch,loss_before,loss_after,accuracy_after,selected,no_op,blocked,min_selected_magnitude,sign_reversals,both_sign_available,one_sign_available,no_legal_move
A0,209,0.07464234,0.07419968,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,210,0.07419968,0.07445163,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,211,0.07445163,0.07189827,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,212,0.07189827,0.07342967,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,213,0.07342967,0.07186654,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,214,0.07186654,0.07027270,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,215,0.07027270,0.07059306,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,216,0.07059306,0.07027270,1.00000000,11,6,2,0.02000000,8,15,2,0
A0,217,0.07027270,0.06846970,1.00000000,8,9,2,0.02000000,8,15,2,0
A0,218,0.06846970,0.06979290,1.00000000,9,8,2,0.02000000,7,15,2,0
A0,219,0.06979290,0.06846970,1.00000000,10,7,2,0.02000000,8,15,2,0
A0,220,0.06846970,0.06689781,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,221,0.06689781,0.06647103,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,222,0.06647103,0.06660315,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,223,0.06660315,0.06434612,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,224,0.06434612,0.06573456,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,225,0.06573456,0.06428693,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,226,0.06428693,0.06262296,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,227,0.06262296,0.06229547,1.00000000,8,9,2,0.02000000,3,15,2,0
A0,228,0.06229547,0.06243108,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,229,0.06243108,0.06038772,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,230,0.06038772,0.06156234,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,231,0.06156234,0.06039971,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,232,0.06039971,0.05892371,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,233,0.05892371,0.05855788,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,234,0.05855788,0.05893729,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,235,0.05893729,0.05676267,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,236,0.05676267,0.05807435,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,237,0.05807435,0.05675193,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,238,0.05675193,0.05549672,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,239,0.05549672,0.05562072,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,240,0.05562072,0.05549672,1.00000000,11,6,2,0.02000000,8,15,2,0
A0,241,0.05549672,0.05395639,1.00000000,8,9,2,0.02000000,8,15,2,0
A0,242,0.05395639,0.05507236,1.00000000,9,8,2,0.02000000,7,15,2,0
A0,243,0.05507236,0.05395637,1.00000000,10,7,2,0.02000000,8,15,2,0
A0,244,0.05395637,0.05271394,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,245,0.05271394,0.05234561,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,246,0.05234561,0.05265746,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,247,0.05265746,0.05068631,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,248,0.05068631,0.05191934,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,249,0.05191934,0.05064396,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,250,0.05064396,0.04936546,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,251,0.04936546,0.04907054,1.00000000,8,9,2,0.02000000,3,15,2,0
A0,252,0.04907054,0.04941743,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,253,0.04941743,0.04757979,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,254,0.04757979,0.04867564,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,255,0.04867564,0.04758682,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,256,0.04758682,0.04649480,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,257,0.04649480,0.04660298,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,258,0.04660298,0.04649480,1.00000000,11,6,2,0.02000000,8,15,2,0
A0,259,0.04649480,0.04520704,1.00000000,8,9,2,0.02000000,8,15,2,0
A0,260,0.04520704,0.04611773,1.00000000,9,8,2,0.02000000,7,15,2,0
A0,261,0.04611773,0.04520703,1.00000000,10,7,2,0.02000000,8,15,2,0
A0,262,0.04520703,0.04412466,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,263,0.04412466,0.04381684,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,264,0.04381684,0.04413117,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,265,0.04413117,0.04243727,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,266,0.04243727,0.04349463,1.00000000,9,8,2,0.02000000,6,15,2,0
A0,267,0.04349463,0.04241123,1.00000000,10,7,2,0.02000000,7,15,2,0
A0,268,0.04241123,0.04153489,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,269,0.04153489,0.04160161,1.00000000,8,9,2,0.02000000,6,15,2,0
A0,270,0.04160161,0.04133007,1.00000000,11,6,2,0.02000000,7,15,2,0
A0,271,0.04133007,0.04036769,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,272,0.04036769,0.04098656,1.00000000,9,8,2,0.02000000,7,15,2,0
A0,273,0.04098656,0.04036767,1.00000000,10,7,2,0.02000000,8,15,2,0
A0,274,0.04036767,0.03926231,1.00000000,8,9,2,0.02000000,7,15,2,0
A0,275,0.03926231,0.03903065,1.00000000,8,9,2,0.02000000,4,15,2,0
A0,276,0.03903065,0.03916379,1.00000000,11,6,2,0.02000000,5,15,2,0
A0,277,0.03916379,0.03783331,1.00000000,7,10,3,0.02000000,7,14,3,0
A0,278,0.03783331,0.03889557,1.00000000,8,9,3,0.02000000,6,14,3,0
A0,279,0.03889557,0.03783330,1.00000000,9,8,3,0.02000000,7,14,3,0
A0,280,0.03783330,0.03713066,1.00000000,7,10,3,0.02000000,6,14,3,0
A0,281,0.03713066,0.03716987,1.00000000,7,10,3,0.02000000,5,14,3,0
A0,282,0.03716987,0.03713066,1.00000000,10,7,3,0.02000000,7,14,3,0
A0,283,0.03713066,0.03603195,1.00000000,7,10,3,0.02000000,7,14,3,0
A0,284,0.03603195,0.03693469,1.00000000,8,9,3,0.02000000,6,14,3,0
A0,285,0.03693469,0.03603194,1.00000000,9,8,3,0.02000000,7,14,3,0
A0,286,0.03603194,0.03532049,1.00000000,7,10,3,0.02000000,6,14,3,0
A0,287,0.03532049,0.03507342,1.00000000,7,10,3,0.02000000,3,14,3,0
A0,288,0.03507342,0.03562000,1.00000000,10,7,3,0.02000000,5,14,3,0
A0,289,0.03562000,0.03402070,1.00000000,7,10,3,0.02000000,7,14,3,0
A0,290,0.03402070,0.03554127,1.00000000,8,9,3,0.02000000,6,14,3,0
A0,291,0.03554127,0.03402069,1.00000000,9,8,3,0.02000000,7,14,3,0
A0,292,0.03402069,0.03382881,1.00000000,7,10,3,0.02000000,5,14,3,0
A0,293,0.03382881,0.03300405,1.00000000,8,9,3,0.02000000,5,14,3,0
A0,294,0.03300405,0.03382081,1.00000000,10,7,3,0.02000000,6,14,3,0
A0,295,0.03382081,0.03245040,1.00000000,7,10,3,0.02000000,7,14,3,0
A0,296,0.03245040,0.03285599,1.00000000,7,10,3,0.02000000,4,14,3,0
A0,297,0.03285599,0.03173323,1.00000000,10,7,3,0.02000000,6,14,3,0
A0,298,0.03173323,0.03221950,1.00000000,8,9,3,0.02000000,6,14,3,0
A0,299,0.03221950,0.03158588,1.00000000,7,10,3,0.02000000,6,14,3,0
A0,300,0.03158588,0.03152834,1.00000000,9,8,3,0.02000000,5,14,3,0
A0,301,0.03152834,0.03090663,1.00000000,8,9,3,0.02000000,5,14,3,0
A0,302,0.03090663,0.03105636,1.00000000,7,10,3,0.02000000,6,14,3,0
A0,303,0.03105636,0.03090663,1.00000000,10,7,3,0.02000000,7,14,3,0
A0,304,0.03090663,0.03049147,1.00000000,7,10,3,0.02000000,7,14,3,0
A0,305,0.03049147,0.03034867,1.00000000,7,10,3,0.02000000,4,14,3,0
A0,306,0.03034867,0.03065522,1.00000000,10,7,3,0.02000000,5,14,3,0
A0,307,0.03065522,0.02943239,1.00000000,7,10,3,0.02000000,7,14,3,0
A0,308,0.02943239,0.03068670,1.00000000,8,9,3,0.02000000,6,14,3,0
A0,309,0.03068670,0.02943237,1.00000000,9,8,3,0.02000000,7,14,3,0
A0,310,0.02943237,0.02944746,1.00000000,7,10,3,0.02000000,5,14,3,0
A0,311,0.02944746,0.02871993,1.00000000,8,9,3,0.02000000,5,14,3,0
A0,312,0.02871993,0.02927374,1.00000000,10,7,3,0.02000000,6,14,3,0
A0,313,0.02927374,0.02821155,1.00000000,7,10,3,0.02000000,7,14,3,0
A0,314,0.02821155,0.02877557,1.00000000,7,10,3,0.02000000,4,14,3,0
A0,315,0.02877557,0.02814687,1.00000000,10,7,3,0.02000000,5,14,3,0
A0,316,0.02814687,0.02791608,1.00000000,7,10,3,0.02000000,7,14,3,0
A0,317,0.02791608,0.02815288,1.00000000,8,9,3,0.02000000,6,14,3,0
