cell_id,state_arm,step,source,candidate_count,spearman,pairwise_agreement,pair_count,top1_agreement,candidate_regret,utility_spread
2,sentinel_rotating128,0,rotating,170,0.377936398,0.631263503,14349,0.000000000,2.675056457520e-4,1.998662948608e-3
2,sentinel_rotating128,600,training,170,0.512384855,0.681916301,14361,0.000000000,9.843111038208e-4,2.645850181580e-3
2,sentinel_rotating128,600,fixed,170,0.456665679,0.666620238,14359,0.000000000,2.993524074554e-3,1.729011535645e-3
2,sentinel_rotating128,600,rotating,170,-0.182089421,0.439724215,14359,0.000000000,2.830028533936e-3,3.592193126678e-3
2,sentinel_rotating128,2400,training,170,-0.070921778,0.474376828,14362,0.000000000,1.088857650757e-3,3.609180450439e-3
2,sentinel_rotating128,2400,fixed,170,0.091172169,0.535167131,14360,0.000000000,3.332734107971e-3,4.766345024109e-3
2,sentinel_rotating128,2400,rotating,170,0.362520434,0.622475978,14362,0.000000000,2.379298210144e-3,4.967629909515e-3
2,sentinel_rotating128,4200,training,170,-0.036865571,0.486333845,14342,0.000000000,7.044553756714e-3,4.628598690033e-3
2,sentinel_rotating128,4200,fixed,170,0.007788640,0.505161110,14338,0.000000000,2.219676971436e-3,5.895018577576e-3
2,sentinel_rotating128,4200,rotating,170,-0.101962911,0.465416260,14342,0.000000000,5.066394805908e-6,7.331848144531e-3
3,training_full96,0,training,170,0.607622787,0.731632511,14346,0.000000000,3.349781036377e-5,2.069830894470e-3
3,training_full96,0,fixed,170,-0.257470235,0.406019228,14354,0.000000000,1.066088676453e-3,2.182841300964e-3
3,training_full96,0,rotating,170,0.436533031,0.659395038,14348,0.000000000,2.899169921875e-4,5.332231521606e-4
3,training_full96,600,training,170,-0.018436748,0.488683056,14359,0.000000000,3.454089164734e-3,2.227306365967e-3
3,training_full96,600,fixed,170,0.312625030,0.626044568,14360,0.000000000,9.274482727051e-4,1.666224002838e-2
3,training_full96,600,rotating,170,0.519198240,0.701908344,14358,0.000000000,9.274482727051e-4,8.019447326660e-3
3,training_full96,2400,training,170,-0.084887329,0.470231878,14361,0.000000000,2.076721191406e-2,1.312687993050e-3
3,training_full96,2400,fixed,170,0.371633051,0.632927254,14365,0.000000000,9.450435638428e-3,4.496526718140e-2
3,training_full96,2400,rotating,170,0.214545588,0.577097111,14365,0.000000000,9.450435638428e-3,3.393054008484e-2
3,training_full96,4200,training,170,0.187174061,0.569510011,12286,0.000000000,1.745510101318e-2,4.236899258103e-6
3,training_full96,4200,fixed,170,0.516587608,0.693469786,14364,0.000000000,3.879547119141e-3,7.177448272705e-2
3,training_full96,4200,rotating,170,0.400764042,0.647914781,14363,0.000000000,7.270812988281e-3,5.826377868652e-2
3,sentinel_fixed128,0,training,170,0.607622787,0.731632511,14346,0.000000000,3.349781036377e-5,2.069830894470e-3
3,sentinel_fixed128,0,fixed,170,-0.257470235,0.406019228,14354,0.000000000,1.066088676453e-3,2.182841300964e-3
3,sentinel_fixed128,0,rotating,170,0.436533031,0.659395038,14348,0.000000000,2.899169921875e-4,5.332231521606e-4
